GEN: 79    BEST FITNESS: 17180647436.743965       	BEST SCORE: 34   	BEST RATIO: 0.058319039451114926     WON: 0    	WON AVG RATIO: 0                        	
GEN: 80    BEST FITNESS: 8590663298.75178         	BEST SCORE: 33   	BEST RATIO: 0.05546218487394958      WON: 0    	WON AVG RATIO: 0                        	
GEN: 81    BEST FITNESS: 4295659386.775926        	BEST SCORE: 32   	BEST RATIO: 0.06639004149377593      WON: 0    	WON AVG RATIO: 0                        	
GEN: 82    BEST FITNESS: 17180654501.670845       	BEST SCORE: 34   	BEST RATIO: 0.06666666666666667      WON: 0    	WON AVG RATIO: 0                        	
GEN: 83    BEST FITNESS: 8590669604.219864        	BEST SCORE: 33   	BEST RATIO: 0.0625                   WON: 0    	WON AVG RATIO: 0                        	
GEN: 84    BEST FITNESS: 34360573382.29263        	BEST SCORE: 35   	BEST RATIO: 0.06782945736434108      WON: 0    	WON AVG RATIO: 0                        	
GEN: 85    BEST FITNESS: 137439883109.57483       	BEST SCORE: 37   	BEST RATIO: 0.060064935064935064     WON: 0    	WON AVG RATIO: 0                        	
GEN: 86    BEST FITNESS: 137439883220.7446        	BEST SCORE: 37   	BEST RATIO: 0.06016260162601626      WON: 0    	WON AVG RATIO: 0                        	
GEN: 87    BEST FITNESS: 17180661084.690483       	BEST SCORE: 34   	BEST RATIO: 0.0774487471526196       WON: 0    	WON AVG RATIO: 0                        	
GEN: 88    BEST FITNESS: 68720345074.39583        	BEST SCORE: 36   	BEST RATIO: 0.05217391304347826      WON: 0    	WON AVG RATIO: 0                        	
GEN: 89    BEST FITNESS: 34360569395.72244        	BEST SCORE: 35   	BEST RATIO: 0.06294964028776978      WON: 0    	WON AVG RATIO: 0                        	
GEN: 90    BEST FITNESS: 17180648617.557095       	BEST SCORE: 34   	BEST RATIO: 0.0595446584938704       WON: 0    	WON AVG RATIO: 0                        	
GEN: 91    BEST FITNESS: 274878879069.52          	BEST SCORE: 38   	BEST RATIO: 0.052704576976421634     WON: 0    	WON AVG RATIO: 0                        	
GEN: 92    BEST FITNESS: 34360557138.54761        	BEST SCORE: 35   	BEST RATIO: 0.05192878338278932      WON: 0    	WON AVG RATIO: 0                        	
GEN: 93    BEST FITNESS: 34360569194.049416       	BEST SCORE: 35   	BEST RATIO: 0.06272401433691756      WON: 0    	WON AVG RATIO: 0                        	
GEN: 94    BEST FITNESS: 8590673796.55984         	BEST SCORE: 33   	BEST RATIO: 0.06846473029045644      WON: 0    	WON AVG RATIO: 0                        	
GEN: 95    BEST FITNESS: 68720339220.50296        	BEST SCORE: 36   	BEST RATIO: 0.04851752021563342      WON: 0    	WON AVG RATIO: 0                        	
GEN: 96    BEST FITNESS: 17180640200.243168       	BEST SCORE: 34   	BEST RATIO: 0.051908396946564885     WON: 0    	WON AVG RATIO: 0                        	
GEN: 97    BEST FITNESS: 68720347180.73106        	BEST SCORE: 36   	BEST RATIO: 0.05365126676602087      WON: 0    	WON AVG RATIO: 0                        	
