GEN: 84    AVG FITNESS: 4.710727238018044        	AVG SCORE: 4.988     	AVG RATIO: 0.04731280708743574      	BEST FITNESS: 27.949886104783598       	BEST SCORE: 30   	BEST RATIO: 0.07334963325183375      TOO_OLD: 242     	WON: 0    	
GEN: 85    AVG FITNESS: 5.015938982111348        	AVG SCORE: 5.312     	AVG RATIO: 0.048374464984974046     	BEST FITNESS: 28.434782608695652       	BEST SCORE: 30   	BEST RATIO: 0.05504587155963303      TOO_OLD: 242     	WON: 0    	
GEN: 86    AVG FITNESS: 5.093208739972221        	AVG SCORE: 5.394     	AVG RATIO: 0.04903324333906024      	BEST FITNESS: 29.505443234836704       	BEST SCORE: 31   	BEST RATIO: 0.05065359477124183      TOO_OLD: 225     	WON: 0    	
GEN: 87    AVG FITNESS: 4.548224205168821        	AVG SCORE: 4.827     	AVG RATIO: 0.04780343844081762      	BEST FITNESS: 25.186567164179106       	BEST SCORE: 27   	BEST RATIO: 0.072                    TOO_OLD: 254     	WON: 0    	
GEN: 88    AVG FITNESS: 4.692812721789603        	AVG SCORE: 4.977     	AVG RATIO: 0.04802570634553034      	BEST FITNESS: 29.23992673992674        	BEST SCORE: 31   	BEST RATIO: 0.06019417475728155      TOO_OLD: 246     	WON: 0    	
GEN: 89    AVG FITNESS: 4.964634621553852        	AVG SCORE: 5.276     	AVG RATIO: 0.05011683796568953      	BEST FITNESS: 29.078                   	BEST SCORE: 31   	BEST RATIO: 0.06609808102345416      TOO_OLD: 241     	WON: 0    	
GEN: 90    AVG FITNESS: 4.81130176451031         	AVG SCORE: 5.113     	AVG RATIO: 0.051179644254927284     	BEST FITNESS: 28.69375907111756        	BEST SCORE: 30   	BEST RATIO: 0.04552352048558422      TOO_OLD: 211     	WON: 0    	
GEN: 91    AVG FITNESS: 5.201293527944739        	AVG SCORE: 5.53      	AVG RATIO: 0.051710272858184816     	BEST FITNESS: 29.976284584980238       	BEST SCORE: 32   	BEST RATIO: 0.06751054852320675      TOO_OLD: 230     	WON: 0    	
GEN: 92    AVG FITNESS: 5.426654954395722        	AVG SCORE: 5.758     	AVG RATIO: 0.050193521391959275     	BEST FITNESS: 27.86729857819905        	BEST SCORE: 30   	BEST RATIO: 0.07653061224489796      TOO_OLD: 239     	WON: 0    	
GEN: 93    AVG FITNESS: 5.139288467588544        	AVG SCORE: 5.447     	AVG RATIO: 0.04887612723765086      	BEST FITNESS: 27.22198731501057        	BEST SCORE: 29   	BEST RATIO: 0.06531531531531531      TOO_OLD: 250     	WON: 0    	
GEN: 94    AVG FITNESS: 5.196870737614035        	AVG SCORE: 5.513     	AVG RATIO: 0.04878027199447871      	BEST FITNESS: 28.20359281437126        	BEST SCORE: 30   	BEST RATIO: 0.06369426751592357      TOO_OLD: 277     	WON: 0    	
GEN: 95    AVG FITNESS: 5.220353374974931        	AVG SCORE: 5.531     	AVG RATIO: 0.049207309478479025     	BEST FITNESS: 30.50073206442167        	BEST SCORE: 32   	BEST RATIO: 0.04915514592933948      TOO_OLD: 256     	WON: 0    	
GEN: 96    AVG FITNESS: 5.334075090325331        	AVG SCORE: 5.653     	AVG RATIO: 0.04818239931813339      	BEST FITNESS: 28.13664596273292        	BEST SCORE: 30   	BEST RATIO: 0.06622516556291391      TOO_OLD: 278     	WON: 0    	
GEN: 97    AVG FITNESS: 5.8068486948921265       	AVG SCORE: 6.157     	AVG RATIO: 0.04953099609029331      	BEST FITNESS: 30.100185528756956       	BEST SCORE: 32   	BEST RATIO: 0.0631163708086785       TOO_OLD: 277     	WON: 0    	
GEN: 98    AVG FITNESS: 5.46801407071486         	AVG SCORE: 5.796     	AVG RATIO: 0.04919410281873043      	BEST FITNESS: 26.933660933660935       	BEST SCORE: 29   	BEST RATIO: 0.07671957671957672      TOO_OLD: 255     	WON: 0    	
GEN: 99    AVG FITNESS: 5.503223470123258        	AVG SCORE: 5.837     	AVG RATIO: 0.049769781718963166     	BEST FITNESS: 26.22222222222222        	BEST SCORE: 28   	BEST RATIO: 0.06779661016949153      TOO_OLD: 258     	WON: 0    	
GEN: 100   AVG FITNESS: 5.824189746866231        	AVG SCORE: 6.183     	AVG RATIO: 0.051600680998798235     	BEST FITNESS: 26.876262626262626       	BEST SCORE: 29   	BEST RATIO: 0.07901907356948229      TOO_OLD: 213     	WON: 0    	
GEN: 101   AVG FITNESS: 6.493617013289771        	AVG SCORE: 6.899     	AVG RATIO: 0.051781854209198994     	BEST FITNESS: 33.024193548387096       	BEST SCORE: 35   	BEST RATIO: 0.05982905982905983      TOO_OLD: 242     	WON: 0    	
GEN: 102   AVG FITNESS: 6.30335051947498         	AVG SCORE: 6.687     	AVG RATIO: 0.05074173843760671      	BEST FITNESS: 28.661800486618006       	BEST SCORE: 31   	BEST RATIO: 0.08157894736842106      TOO_OLD: 246     	WON: 0    	
GEN: 103   AVG FITNESS: 6.02779571713865         	AVG SCORE: 6.392     	AVG RATIO: 0.05094647909775635      	BEST FITNESS: 27.167755991285404       	BEST SCORE: 29   	BEST RATIO: 0.06744186046511629      TOO_OLD: 216     	WON: 0    	
GEN: 104   AVG FITNESS: 5.8804374089053555       	AVG SCORE: 6.242     	AVG RATIO: 0.051061810804620265     	BEST FITNESS: 26.943765281173594       	BEST SCORE: 29   	BEST RATIO: 0.07631578947368421      TOO_OLD: 226     	WON: 0    	
