GEN: 1     BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	
GEN: 171   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.03815580286168521      WON: 0    	
GEN: 172   BEST FITNESS: 7.378697629484119e+19    	BEST SCORE: 66   	BEST RATIO: 0.045174537987679675     WON: 0    	
GEN: 173   BEST FITNESS: 7.83397733321472e+32     	BEST SCORE: 97   	BEST RATIO: 0.04943934760448522      WON: 1    	
GEN: 174   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.04606879606879607      WON: 0    	
GEN: 175   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.040022870211549454     WON: 0    	
GEN: 176   BEST FITNESS: 1.9342813113834067e+25   	BEST SCORE: 84   	BEST RATIO: 0.04281345565749235      WON: 0    	
GEN: 177   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.04570383912248629      WON: 0    	
GEN: 178   BEST FITNESS: 1.8889465931478585e+22   	BEST SCORE: 74   	BEST RATIO: 0.046019900497512436     WON: 0    	
GEN: 179   BEST FITNESS: 7.555786372591432e+22    	BEST SCORE: 76   	BEST RATIO: 0.04385458742065782      WON: 0    	
GEN: 180   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.042270531400966184     WON: 0    	
GEN: 181   BEST FITNESS: 3.022314549036573e+23    	BEST SCORE: 78   	BEST RATIO: 0.04707302353651177      WON: 0    	
GEN: 182   BEST FITNESS: 3.022314549036573e+23    	BEST SCORE: 78   	BEST RATIO: 0.04107424960505529      WON: 0    	
GEN: 183   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.043859649122807015     WON: 0    	
GEN: 184   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.036390827517447655     WON: 0    	
GEN: 185   BEST FITNESS: 3.689348814742194e+19    	BEST SCORE: 65   	BEST RATIO: 0.03970678069639585      WON: 0    	
GEN: 186   BEST FITNESS: 7.378697629484116e+19    	BEST SCORE: 66   	BEST RATIO: 0.042118698149329926     WON: 0    	
GEN: 187   BEST FITNESS: 7.555786372591432e+22    	BEST SCORE: 76   	BEST RATIO: 0.04286520022560632      WON: 0    	
GEN: 188   BEST FITNESS: 1.475739525896794e+20    	BEST SCORE: 67   	BEST RATIO: 0.038395415472779366     WON: 0    	
GEN: 189   BEST FITNESS: 1.5474250491067253e+26   	BEST SCORE: 87   	BEST RATIO: 0.046007403490216814     WON: 0    	
GEN: 190   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.03938730853391685      WON: 0    	
GEN: 191   BEST FITNESS: 4.951760157141521e+27    	BEST SCORE: 92   	BEST RATIO: 0.04784191367654706      WON: 0    	
GEN: 192   BEST FITNESS: 2.4178516392292583e+24   	BEST SCORE: 81   	BEST RATIO: 0.03820754716981132      WON: 0    	
GEN: 193   BEST FITNESS: 1.8889465931478585e+22   	BEST SCORE: 74   	BEST RATIO: 0.03948772678762007      WON: 0    	
GEN: 194   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.03924731182795699      WON: 0    	
GEN: 195   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.04295942720763723      WON: 0    	
GEN: 196   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.04590818363273453      WON: 0    	
