GEN: 66    BEST FITNESS: 78188.71265125061        	BEST SCORE: 11   	BEST RATIO: 0.14285714285714285      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 67    BEST FITNESS: 50317.00421501615        	BEST SCORE: 9    	BEST RATIO: 0.10714285714285714      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 68    BEST FITNESS: 63212.77698143853        	BEST SCORE: 10   	BEST RATIO: 0.11764705882352941      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 69    BEST FITNESS: 29689.7575264536         	BEST SCORE: 7    	BEST RATIO: 0.15217391304347827      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 70    BEST FITNESS: 63042.08772903809        	BEST SCORE: 10   	BEST RATIO: 0.10101010101010101      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 71    BEST FITNESS: 95066.64580282911        	BEST SCORE: 12   	BEST RATIO: 0.11009174311926606      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 72    BEST FITNESS: 141642.61599352572       	BEST SCORE: 14   	BEST RATIO: 0.0979020979020979       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 73    BEST FITNESS: 78055.81530144368        	BEST SCORE: 11   	BEST RATIO: 0.12643678160919541      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 74    BEST FITNESS: 95382.26587852198        	BEST SCORE: 12   	BEST RATIO: 0.1348314606741573       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 75    BEST FITNESS: 95179.41355609719        	BEST SCORE: 12   	BEST RATIO: 0.11764705882352941      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 76    BEST FITNESS: 115785.92596022683       	BEST SCORE: 13   	BEST RATIO: 0.11206896551724138      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 77    BEST FITNESS: 177729.10031034643       	BEST SCORE: 15   	BEST RATIO: 0.1056338028169014       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 78    BEST FITNESS: 115949.27052330236       	BEST SCORE: 13   	BEST RATIO: 0.12149532710280374      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 79    BEST FITNESS: 177891.9630552734        	BEST SCORE: 15   	BEST RATIO: 0.1111111111111111       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 80    BEST FITNESS: 142246.74729550732       	BEST SCORE: 14   	BEST RATIO: 0.12280701754385964      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 81    BEST FITNESS: 115767.52179857563       	BEST SCORE: 13   	BEST RATIO: 0.1111111111111111       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 82    BEST FITNESS: 762638.4119838058        	BEST SCORE: 19   	BEST RATIO: 0.11949685534591195      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 83    BEST FITNESS: 139931.0192161265        	BEST SCORE: 14   	BEST RATIO: 0.06451612903225806      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 84    BEST FITNESS: 177705.62551062633       	BEST SCORE: 15   	BEST RATIO: 0.1048951048951049       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 85    BEST FITNESS: 177515.99736072568       	BEST SCORE: 15   	BEST RATIO: 0.09933774834437085      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 86    BEST FITNESS: 176978.5207987158        	BEST SCORE: 15   	BEST RATIO: 0.08670520231213873      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 87    BEST FITNESS: 2390002.7313388274       	BEST SCORE: 21   	BEST RATIO: 0.10396039603960396      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 88    BEST FITNESS: 115785.92596022683       	BEST SCORE: 13   	BEST RATIO: 0.11206896551724138      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 89    BEST FITNESS: 319407.6146494661        	BEST SCORE: 17   	BEST RATIO: 0.10559006211180125      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 90    BEST FITNESS: 473709.1781419967        	BEST SCORE: 18   	BEST RATIO: 0.09375                  WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
