GEN: 75    AVG SCORE: 5.382727272727273     	AVG RATIO: 0.04261459207494092   	BEST SCORE: 36   	BEST RATIO: 0.056338028169014086  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 76    AVG SCORE: 5.455454545454545     	AVG RATIO: 0.041535403013157966  	BEST SCORE: 37   	BEST RATIO: 0.06313993174061433   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 77    AVG SCORE: 5.119090909090909     	AVG RATIO: 0.03982391986230246   	BEST SCORE: 34   	BEST RATIO: 0.051829268292682924  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 78    AVG SCORE: 4.752727272727273     	AVG RATIO: 0.04134301673341702   	BEST SCORE: 34   	BEST RATIO: 0.06319702602230483   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 79    AVG SCORE: 5.382727272727273     	AVG RATIO: 0.04209466362470859   	BEST SCORE: 34   	BEST RATIO: 0.06367041198501873   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 80    AVG SCORE: 5.766363636363637     	AVG RATIO: 0.03955782909426701   	BEST SCORE: 34   	BEST RATIO: 0.06284658040665435   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 81    AVG SCORE: 5.886363636363637     	AVG RATIO: 0.04092176184912746   	BEST SCORE: 34   	BEST RATIO: 0.06028368794326241   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 82    AVG SCORE: 5.861818181818182     	AVG RATIO: 0.04118237694487456   	BEST SCORE: 36   	BEST RATIO: 0.0632688927943761    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 83    AVG SCORE: 7.298181818181818     	AVG RATIO: 0.0416501256781608    	BEST SCORE: 33   	BEST RATIO: 0.06191369606003752   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 84    AVG SCORE: 6.876363636363636     	AVG RATIO: 0.04041100909357416   	BEST SCORE: 35   	BEST RATIO: 0.05451713395638629   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 85    AVG SCORE: 6.508181818181818     	AVG RATIO: 0.04320502160573872   	BEST SCORE: 40   	BEST RATIO: 0.061068702290076333  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 86    AVG SCORE: 8.235454545454546     	AVG RATIO: 0.044584711794389935  	BEST SCORE: 34   	BEST RATIO: 0.08095238095238096   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 87    AVG SCORE: 7.094545454545455     	AVG RATIO: 0.043379978646685975  	BEST SCORE: 35   	BEST RATIO: 0.0688976377952756    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 88    AVG SCORE: 7.117272727272727     	AVG RATIO: 0.040205138720332365  	BEST SCORE: 33   	BEST RATIO: 0.06133828996282528   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 89    AVG SCORE: 6.986363636363636     	AVG RATIO: 0.04030740006898411   	BEST SCORE: 35   	BEST RATIO: 0.05443234836702955   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 90    AVG SCORE: 7.746363636363636     	AVG RATIO: 0.04523647982590208   	BEST SCORE: 41   	BEST RATIO: 0.059334298118668596  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 91    AVG SCORE: 7.983636363636363     	AVG RATIO: 0.04153462349567293   	BEST SCORE: 36   	BEST RATIO: 0.07346938775510205   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 92    AVG SCORE: 7.501818181818182     	AVG RATIO: 0.047069080181277395  	BEST SCORE: 39   	BEST RATIO: 0.06866197183098592   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 93    AVG SCORE: 8.114545454545455     	AVG RATIO: 0.045967661116697686  	BEST SCORE: 36   	BEST RATIO: 0.05341246290801187   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 94    AVG SCORE: 7.749090909090909     	AVG RATIO: 0.051052853369291835  	BEST SCORE: 38   	BEST RATIO: 0.05555555555555555   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 95    AVG SCORE: 6.808181818181819     	AVG RATIO: 0.04494309631153887   	BEST SCORE: 37   	BEST RATIO: 0.06412478336221837   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 96    AVG SCORE: 7.031818181818182     	AVG RATIO: 0.04591221320778633   	BEST SCORE: 36   	BEST RATIO: 0.07775377969762419   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 97    AVG SCORE: 7.785454545454545     	AVG RATIO: 0.04527737990060835   	BEST SCORE: 36   	BEST RATIO: 0.0855106888361045    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 98    AVG SCORE: 7.13                  	AVG RATIO: 0.042705909040406685  	BEST SCORE: 39   	BEST RATIO: 0.05701754385964912   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 99    AVG SCORE: 7.457272727272727     	AVG RATIO: 0.04554731346437327   	BEST SCORE: 37   	BEST RATIO: 0.055639097744360905  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 100   AVG SCORE: 6.709090909090909     	AVG RATIO: 0.04410086961201453   	BEST SCORE: 38   	BEST RATIO: 0.06375838926174497   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 101   AVG SCORE: 9.517272727272728     	AVG RATIO: 0.0449384730109176    	BEST SCORE: 40   	BEST RATIO: 0.05532503457814661   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
