GEN: 51    AVG FITNESS: 1411477.45743965      	AVG SCORE: 4.407272727272727     	AVG RATIO: 0.05066528694287178   	BEST FITNESS: 1074352595.9138577    	BEST SCORE: 30   	BEST RATIO: 0.07936507936507936   WON: 0    	WON AVG RATIO: 0                     	
GEN: 52    AVG FITNESS: 195009.65988987416    	AVG SCORE: 4.4372727272727275    	AVG RATIO: 0.05074453167433962   	BEST FITNESS: 67558029.39550829     	BEST SCORE: 26   	BEST RATIO: 0.06615776081424936   WON: 0    	WON AVG RATIO: 0                     	
GEN: 53    AVG FITNESS: 2644250.0070564505    	AVG SCORE: 3.8581818181818184    	AVG RATIO: 0.0479691069708154    	BEST FITNESS: 2148133944.8344893    	BEST SCORE: 31   	BEST RATIO: 0.07093821510297482   WON: 0    	WON AVG RATIO: 0                     	
GEN: 54    AVG FITNESS: 4400622.969268999     	AVG SCORE: 4.628181818181818     	AVG RATIO: 0.054155354280802474  	BEST FITNESS: 4295657907.259812     	BEST SCORE: 32   	BEST RATIO: 0.06412825651302605   WON: 0    	WON AVG RATIO: 0                     	
GEN: 55    AVG FITNESS: 4967215.283967716     	AVG SCORE: 4.752727272727273     	AVG RATIO: 0.05638523420212993   	BEST FITNESS: 4295662805.129739     	BEST SCORE: 32   	BEST RATIO: 0.07239819004524888   WON: 0    	WON AVG RATIO: 0                     	
GEN: 56    AVG FITNESS: 1776637.378779876     	AVG SCORE: 4.330909090909091     	AVG RATIO: 0.04963815877595284   	BEST FITNESS: 1074349498.6968505    	BEST SCORE: 30   	BEST RATIO: 0.07159904534606205   WON: 0    	WON AVG RATIO: 0                     	
GEN: 57    AVG FITNESS: 1547620.1726060673    	AVG SCORE: 5.275454545454545     	AVG RATIO: 0.05479832697601859   	BEST FITNESS: 268963025.9730185     	BEST SCORE: 28   	BEST RATIO: 0.07506702412868632   WON: 0    	WON AVG RATIO: 0                     	
GEN: 58    AVG FITNESS: 4915976.8675443465    	AVG SCORE: 4.835454545454546     	AVG RATIO: 0.05551038695797658   	BEST FITNESS: 1074350567.1364741    	BEST SCORE: 30   	BEST RATIO: 0.07407407407407407   WON: 0    	WON AVG RATIO: 0                     	
GEN: 59    AVG FITNESS: 1782021.6082729036    	AVG SCORE: 5.628181818181818     	AVG RATIO: 0.05894424919645936   	BEST FITNESS: 268960889.22001314    	BEST SCORE: 28   	BEST RATIO: 0.06930693069306931   WON: 0    	WON AVG RATIO: 0                     	
GEN: 60    AVG FITNESS: 7196607.330328365     	AVG SCORE: 4.930909090909091     	AVG RATIO: 0.05827710732607796   	BEST FITNESS: 2148137759.385925     	BEST SCORE: 31   	BEST RATIO: 0.07969151670951156   WON: 0    	WON AVG RATIO: 0                     	
GEN: 61    AVG FITNESS: 9987894.954873627     	AVG SCORE: 5.8945454545454545    	AVG RATIO: 0.05909308076267059   	BEST FITNESS: 4295652474.312541     	BEST SCORE: 32   	BEST RATIO: 0.05714285714285714   WON: 0    	WON AVG RATIO: 0                     	
GEN: 62    AVG FITNESS: 16639995.287821243    	AVG SCORE: 5.557272727272728     	AVG RATIO: 0.06053536570902124   	BEST FITNESS: 8590675936.83652      	BEST SCORE: 33   	BEST RATIO: 0.07205240174672489   WON: 0    	WON AVG RATIO: 0                     	
GEN: 63    AVG FITNESS: 17338896.268269632    	AVG SCORE: 5.299090909090909     	AVG RATIO: 0.05294515269838459   	BEST FITNESS: 8590674603.043499     	BEST SCORE: 33   	BEST RATIO: 0.06976744186046512   WON: 0    	WON AVG RATIO: 0                     	
GEN: 64    AVG FITNESS: 64010391.476770155    	AVG SCORE: 5.7263636363636365    	AVG RATIO: 0.05144592182633757   	BEST FITNESS: 34360556389.55518     	BEST SCORE: 35   	BEST RATIO: 0.0513950073421439    WON: 0    	WON AVG RATIO: 0                     	
GEN: 65    AVG FITNESS: 62740691.99420618     	AVG SCORE: 5.971818181818182     	AVG RATIO: 0.05430795904156137   	BEST FITNESS: 17180668631.199417    	BEST SCORE: 34   	BEST RATIO: 0.09631728045325778   WON: 0    	WON AVG RATIO: 0                     	
GEN: 66    AVG FITNESS: 167346803.98350853    	AVG SCORE: 4.89                  	AVG RATIO: 0.053588807145924525  	BEST FITNESS: 137439887948.4451     	BEST SCORE: 37   	BEST RATIO: 0.06468531468531469   WON: 0    	WON AVG RATIO: 0                     	
GEN: 67    AVG FITNESS: 62622911.682738245    	AVG SCORE: 5.428181818181818     	AVG RATIO: 0.05228350261468305   	BEST FITNESS: 17180656011.0131      	BEST SCORE: 34   	BEST RATIO: 0.06882591093117409   WON: 0    	WON AVG RATIO: 0                     	
GEN: 68    AVG FITNESS: 95215597.67064449     	AVG SCORE: 5.258181818181818     	AVG RATIO: 0.049271327481809554  	BEST FITNESS: 34360572790.09049     	BEST SCORE: 35   	BEST RATIO: 0.06704980842911877   WON: 0    	WON AVG RATIO: 0                     	
GEN: 69    AVG FITNESS: 294236479.5695283     	AVG SCORE: 6.259090909090909     	AVG RATIO: 0.04733253473943912   	BEST FITNESS: 274878904028.38196    	BEST SCORE: 38   	BEST RATIO: 0.07554671968190854   WON: 0    	WON AVG RATIO: 0                     	
GEN: 70    AVG FITNESS: 233106468.62842458    	AVG SCORE: 5.911818181818182     	AVG RATIO: 0.053421026480112536  	BEST FITNESS: 68720356590.12238     	BEST SCORE: 36   	BEST RATIO: 0.06164383561643835   WON: 0    	WON AVG RATIO: 0                     	
GEN: 71    AVG FITNESS: 60205038.12618574     	AVG SCORE: 4.845454545454546     	AVG RATIO: 0.05115392977772396   	BEST FITNESS: 17180652402.833878    	BEST SCORE: 34   	BEST RATIO: 0.06390977443609022   WON: 0    	WON AVG RATIO: 0                     	
GEN: 72    AVG FITNESS: 294268841.90969574    	AVG SCORE: 4.998181818181818     	AVG RATIO: 0.0506009543270133    	BEST FITNESS: 274878886906.505      	BEST SCORE: 38   	BEST RATIO: 0.05801526717557252   WON: 0    	WON AVG RATIO: 0                     	
GEN: 73    AVG FITNESS: 261753246419.7032     	AVG SCORE: 6.142727272727273     	AVG RATIO: 0.047872430778140136  	BEST FITNESS: 281474978308948.1     	BEST SCORE: 48   	BEST RATIO: 0.061381074168797956  WON: 0    	WON AVG RATIO: 0                     	
GEN: 74    AVG FITNESS: 9863721711.756079     	AVG SCORE: 6.741818181818182     	AVG RATIO: 0.046415239204089805  	BEST FITNESS: 8796094292705.604     	BEST SCORE: 43   	BEST RATIO: 0.060393258426966294  WON: 0    	WON AVG RATIO: 0                     	
GEN: 75    AVG FITNESS: 38634907994.40494     	AVG SCORE: 6.434545454545455     	AVG RATIO: 0.044477958202458034  	BEST FITNESS: 35184373488743.234    	BEST SCORE: 45   	BEST RATIO: 0.0625                WON: 0    	WON AVG RATIO: 0                     	
GEN: 76    AVG FITNESS: 2059650932402.2917    	AVG SCORE: 7.1036363636363635    	AVG RATIO: 0.04664244851008428   	BEST FITNESS: 2251799815500205.0    	BEST SCORE: 51   	BEST RATIO: 0.06242350061199511   WON: 0    	WON AVG RATIO: 0                     	
GEN: 77    AVG FITNESS: 583367847075.5985     	AVG SCORE: 7.220909090909091     	AVG RATIO: 0.044603389025151145  	BEST FITNESS: 562949955077531.4     	BEST SCORE: 49   	BEST RATIO: 0.056451612903225805  WON: 0    	WON AVG RATIO: 0                     	
GEN: 78    AVG FITNESS: 12479115894.48461     	AVG SCORE: 7.678181818181818     	AVG RATIO: 0.04384502757099347   	BEST FITNESS: 2199024402540.27      	BEST SCORE: 41   	BEST RATIO: 0.05782792665726375   WON: 0    	WON AVG RATIO: 0                     	
GEN: 79    AVG FITNESS: 2147408366084.0247    	AVG SCORE: 6.67                  	AVG RATIO: 0.04522022039393726   	BEST FITNESS: 2251799815473096.5    	BEST SCORE: 51   	BEST RATIO: 0.05284974093264249   WON: 0    	WON AVG RATIO: 0                     	
GEN: 80    AVG FITNESS: 431223884820.74756    	AVG SCORE: 6.904545454545454     	AVG RATIO: 0.044822013772081754  	BEST FITNESS: 281474978289034.3     	BEST SCORE: 48   	BEST RATIO: 0.05327413984461709   WON: 0    	WON AVG RATIO: 0                     	
GEN: 81    AVG FITNESS: 72784906296.1471      	AVG SCORE: 6.993636363636363     	AVG RATIO: 0.04593092507164937   	BEST FITNESS: 17592187360706.5      	BEST SCORE: 44   	BEST RATIO: 0.052443384982121574  WON: 0    	WON AVG RATIO: 0                     	
GEN: 82    AVG FITNESS: 16875880192.706789    	AVG SCORE: 6.786363636363636     	AVG RATIO: 0.0451572832497365    	BEST FITNESS: 8796094296445.95      	BEST SCORE: 43   	BEST RATIO: 0.06277372262773723   WON: 0    	WON AVG RATIO: 0                     	
GEN: 83    AVG FITNESS: 108324797529.16943    	AVG SCORE: 6.381818181818182     	AVG RATIO: 0.04693066692208633   	BEST FITNESS: 70368745628143.97     	BEST SCORE: 46   	BEST RATIO: 0.05535499398315283   WON: 0    	WON AVG RATIO: 0                     	
GEN: 84    AVG FITNESS: 16435374492843.932    	AVG SCORE: 7.114545454545454     	AVG RATIO: 0.04343792386900592   	BEST FITNESS: 1.801439851151005e+16 	BEST SCORE: 54   	BEST RATIO: 0.05726405090137858   WON: 0    	WON AVG RATIO: 0                     	
GEN: 85    AVG FITNESS: 700905039759.2977     	AVG SCORE: 7.363636363636363     	AVG RATIO: 0.04510439592246687   	BEST FITNESS: 562949955078915.1     	BEST SCORE: 49   	BEST RATIO: 0.056976744186046514  WON: 0    	WON AVG RATIO: 0                     	
GEN: 86    AVG FITNESS: 87014192129.45076     	AVG SCORE: 6.553636363636364     	AVG RATIO: 0.04942230876644832   	BEST FITNESS: 70368745637077.05     	BEST SCORE: 46   	BEST RATIO: 0.059431524547803614  WON: 0    	WON AVG RATIO: 0                     	
GEN: 87    AVG FITNESS: 2185623170821.0354    	AVG SCORE: 7.535454545454545     	AVG RATIO: 0.044540371764512365  	BEST FITNESS: 2251799815470463.5    	BEST SCORE: 51   	BEST RATIO: 0.05209397344228805   WON: 0    	WON AVG RATIO: 0                     	
GEN: 88    AVG FITNESS: 4205007715623.649     	AVG SCORE: 7.539090909090909     	AVG RATIO: 0.0441920751990508    	BEST FITNESS: 4503599629215936.0    	BEST SCORE: 52   	BEST RATIO: 0.04887218045112782   WON: 0    	WON AVG RATIO: 0                     	
GEN: 89    AVG FITNESS: 4153844906371.822     	AVG SCORE: 7.723636363636364     	AVG RATIO: 0.04473957336000466   	BEST FITNESS: 4503599629220669.0    	BEST SCORE: 52   	BEST RATIO: 0.05                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 90    AVG FITNESS: 2169167627942.8054    	AVG SCORE: 9.381818181818181     	AVG RATIO: 0.0483716322213293    	BEST FITNESS: 2251799815490108.5    	BEST SCORE: 51   	BEST RATIO: 0.058419243986254296  WON: 0    	WON AVG RATIO: 0                     	
GEN: 91    AVG FITNESS: 352057423854.291      	AVG SCORE: 7.760909090909091     	AVG RATIO: 0.04380935776286269   	BEST FITNESS: 281474978268486.1     	BEST SCORE: 48   	BEST RATIO: 0.047105004906771344  WON: 0    	WON AVG RATIO: 0                     	
GEN: 92    AVG FITNESS: 656597555088.9844     	AVG SCORE: 8.782727272727273     	AVG RATIO: 0.04665085390004819   	BEST FITNESS: 562949955084581.5     	BEST SCORE: 49   	BEST RATIO: 0.0592503022974607    WON: 0    	WON AVG RATIO: 0                     	
GEN: 93    AVG FITNESS: 1123870103740.5051    	AVG SCORE: 9.930909090909092     	AVG RATIO: 0.05195386557092193   	BEST FITNESS: 562949955074926.6     	BEST SCORE: 49   	BEST RATIO: 0.05549263873159683   WON: 0    	WON AVG RATIO: 0                     	
GEN: 94    AVG FITNESS: 39023413076036.055    	AVG SCORE: 8.81                  	AVG RATIO: 0.04935752187637148   	BEST FITNESS: 3.602879702105635e+16 	BEST SCORE: 55   	BEST RATIO: 0.05344995140913508   WON: 0    	WON AVG RATIO: 0                     	
GEN: 95    AVG FITNESS: 32793161855554.742    	AVG SCORE: 8.886363636363637     	AVG RATIO: 0.04619771790114217   	BEST FITNESS: 3.6028797021030984e+16	BEST SCORE: 55   	BEST RATIO: 0.04790940766550523   WON: 0    	WON AVG RATIO: 0                     	
GEN: 96    AVG FITNESS: 194846175981.99475    	AVG SCORE: 8.858181818181817     	AVG RATIO: 0.052302025002519535  	BEST FITNESS: 140737489882396.72    	BEST SCORE: 47   	BEST RATIO: 0.05994897959183673   WON: 0    	WON AVG RATIO: 0                     	
GEN: 97    AVG FITNESS: 387867803454.4881     	AVG SCORE: 8.125454545454545     	AVG RATIO: 0.048876410203881344  	BEST FITNESS: 140737489872214.34    	BEST SCORE: 47   	BEST RATIO: 0.05548996458087367   WON: 0    	WON AVG RATIO: 0                     	
GEN: 98    AVG FITNESS: 5118099119653.114     	AVG SCORE: 8.434545454545454     	AVG RATIO: 0.049043335631584827  	BEST FITNESS: 4503599629250978.0    	BEST SCORE: 52   	BEST RATIO: 0.05895691609977324   WON: 0    	WON AVG RATIO: 0                     	
GEN: 99    AVG FITNESS: 120905831035.12975    	AVG SCORE: 7.4827272727272724    	AVG RATIO: 0.041159490328078585  	BEST FITNESS: 35184373478407.4      	BEST SCORE: 45   	BEST RATIO: 0.057034220532319393  WON: 0    	WON AVG RATIO: 0                     	
GEN: 100   AVG FITNESS: 4194101181493212.5    	AVG SCORE: 7.172727272727273     	AVG RATIO: 0.04496680284626968   	BEST FITNESS: 4.611686018429989e+18 	BEST SCORE: 62   	BEST RATIO: 0.04234972677595628   WON: 0    	WON AVG RATIO: 0                     	
GEN: 101   AVG FITNESS: 92966883907576.06     	AVG SCORE: 9.172727272727272     	AVG RATIO: 0.04405117852205101   	BEST FITNESS: 7.205759404005678e+16 	BEST SCORE: 56   	BEST RATIO: 0.04508856682769726   WON: 0    	WON AVG RATIO: 0                     	
GEN: 102   AVG FITNESS: 134810558287538.36    	AVG SCORE: 8.61                  	AVG RATIO: 0.04647099213669754   	BEST FITNESS: 1.4411518807801683e+17	BEST SCORE: 57   	BEST RATIO: 0.039014373716632446  WON: 0    	WON AVG RATIO: 0                     	
