GEN: 78    AVG FITNESS: 97664498097.648       	AVG SCORE: 4.598181818181819     	AVG RATIO: 0.032737331336016515  	BEST FITNESS: 70368745630985.58     	BEST SCORE: 46   	BEST RATIO: 0.056580565805658053  WON: 0    	WON AVG RATIO: 0                     	
GEN: 79    AVG FITNESS: 144690319304.8155     	AVG SCORE: 4.0181818181818185    	AVG RATIO: 0.03543554162444294   	BEST FITNESS: 140737489784371.72    	BEST SCORE: 47   	BEST RATIO: 0.03494423791821561   WON: 0    	WON AVG RATIO: 0                     	
GEN: 80    AVG FITNESS: 2590327086.809779     	AVG SCORE: 3.6945454545454544    	AVG RATIO: 0.02939453828977399   	BEST FITNESS: 2199024364750.1865    	BEST SCORE: 41   	BEST RATIO: 0.04175152749490835   WON: 0    	WON AVG RATIO: 0                     	
GEN: 81    AVG FITNESS: 4260384991449.884     	AVG SCORE: 4.553636363636364     	AVG RATIO: 0.027907649305856822  	BEST FITNESS: 4503599629175288.0    	BEST SCORE: 52   	BEST RATIO: 0.04113924050632911   WON: 0    	WON AVG RATIO: 0                     	
GEN: 82    AVG FITNESS: 17133616049056.299    	AVG SCORE: 4.307272727272728     	AVG RATIO: 0.028795191689094387  	BEST FITNESS: 1.801439851141635e+16 	BEST SCORE: 54   	BEST RATIO: 0.03901734104046243   WON: 0    	WON AVG RATIO: 0                     	
GEN: 83    AVG FITNESS: 1383216027963.9102    	AVG SCORE: 4.757272727272727     	AVG RATIO: 0.026746408717809558  	BEST FITNESS: 562949954990559.9     	BEST SCORE: 49   	BEST RATIO: 0.036676646706586824  WON: 0    	WON AVG RATIO: 0                     	
GEN: 84    AVG FITNESS: 84380693668.40182     	AVG SCORE: 3.9454545454545453    	AVG RATIO: 0.025456555256975093  	BEST FITNESS: 70368745565948.25     	BEST SCORE: 46   	BEST RATIO: 0.038301415487094086  WON: 0    	WON AVG RATIO: 0                     	
GEN: 85    AVG FITNESS: 25955667579764.887    	AVG SCORE: 4.012727272727273     	AVG RATIO: 0.022613341637787013  	BEST FITNESS: 1.8014398511373372e+16	BEST SCORE: 54   	BEST RATIO: 0.03435114503816794   WON: 0    	WON AVG RATIO: 0                     	
GEN: 86    AVG FITNESS: 4720433315098523.0    	AVG SCORE: 4.8136363636363635    	AVG RATIO: 0.023280269010197564  	BEST FITNESS: 2.305843009216143e+18 	BEST SCORE: 61   	BEST RATIO: 0.03615886188500297   WON: 0    	WON AVG RATIO: 0                     	
GEN: 87    AVG FITNESS: 6899602339701816.0    	AVG SCORE: 4.543636363636364     	AVG RATIO: 0.021723429767222815  	BEST FITNESS: 4.611686018429916e+18 	BEST SCORE: 62   	BEST RATIO: 0.035858877964141125  WON: 0    	WON AVG RATIO: 0                     	
GEN: 88    AVG FITNESS: 6.924245251263347e+16 	AVG SCORE: 5.18                  	AVG RATIO: 0.02277146734805383   	BEST FITNESS: 7.378697629484104e+19 	BEST SCORE: 66   	BEST RATIO: 0.03435710567412806   WON: 0    	WON AVG RATIO: 0                     	
