GEN: 89    BEST FITNESS: 1125899908549749.2       	BEST SCORE: 50   	BEST RATIO: 0.05025125628140704      WON: 0    	WON AVG RATIO: 0                        	
GEN: 90    BEST FITNESS: 140737489873357.38       	BEST SCORE: 47   	BEST RATIO: 0.055952380952380955     WON: 0    	WON AVG RATIO: 0                        	
GEN: 91    BEST FITNESS: 70368745610054.38        	BEST SCORE: 46   	BEST RATIO: 0.04878048780487805      WON: 0    	WON AVG RATIO: 0                        	
GEN: 92    BEST FITNESS: 2251799815473847.0       	BEST SCORE: 51   	BEST RATIO: 0.053069719042663895     WON: 0    	WON AVG RATIO: 0                        	
GEN: 93    BEST FITNESS: 562949955052351.1        	BEST SCORE: 49   	BEST RATIO: 0.048514851485148516     WON: 0    	WON AVG RATIO: 0                        	
GEN: 94    BEST FITNESS: 35184373442367.836       	BEST SCORE: 45   	BEST RATIO: 0.04424778761061947      WON: 0    	WON AVG RATIO: 0                        	
GEN: 95    BEST FITNESS: 1125899908526972.0       	BEST SCORE: 50   	BEST RATIO: 0.044802867383512544     WON: 0    	WON AVG RATIO: 0                        	
GEN: 96    BEST FITNESS: 35184373471516.42        	BEST SCORE: 45   	BEST RATIO: 0.0539568345323741       WON: 0    	WON AVG RATIO: 0                        	
GEN: 97    BEST FITNESS: 562949955060096.6        	BEST SCORE: 49   	BEST RATIO: 0.050672182006204755     WON: 0    	WON AVG RATIO: 0                        	
GEN: 98    BEST FITNESS: 1125899908524863.0       	BEST SCORE: 50   	BEST RATIO: 0.044365572315882874     WON: 0    	WON AVG RATIO: 0                        	
GEN: 99    BEST FITNESS: 281474978284917.3        	BEST SCORE: 48   	BEST RATIO: 0.05189189189189189      WON: 0    	WON AVG RATIO: 0                        	
GEN: 100   BEST FITNESS: 562949955040268.9        	BEST SCORE: 49   	BEST RATIO: 0.04553903345724907      WON: 0    	WON AVG RATIO: 0                        	
GEN: 101   BEST FITNESS: 70368745602263.03        	BEST SCORE: 46   	BEST RATIO: 0.046464646464646465     WON: 0    	WON AVG RATIO: 0                        	
GEN: 102   BEST FITNESS: 35184373461363.96        	BEST SCORE: 45   	BEST RATIO: 0.05005561735261402      WON: 0    	WON AVG RATIO: 0                        	
GEN: 103   BEST FITNESS: 1125899908561106.2       	BEST SCORE: 50   	BEST RATIO: 0.05359056806002144      WON: 0    	WON AVG RATIO: 0                        	
GEN: 104   BEST FITNESS: 281474978251954.75       	BEST SCORE: 48   	BEST RATIO: 0.043204320432043204     WON: 0    	WON AVG RATIO: 0                        	
GEN: 105   BEST FITNESS: 281474978279029.6        	BEST SCORE: 48   	BEST RATIO: 0.05005213764337852      WON: 0    	WON AVG RATIO: 0                        	
GEN: 106   BEST FITNESS: 1125899908572415.2       	BEST SCORE: 50   	BEST RATIO: 0.05747126436781609      WON: 0    	WON AVG RATIO: 0                        	
GEN: 107   BEST FITNESS: 8796094281086.285        	BEST SCORE: 43   	BEST RATIO: 0.05415617128463476      WON: 0    	WON AVG RATIO: 0                        	
GEN: 108   BEST FITNESS: 70368745617891.34        	BEST SCORE: 46   	BEST RATIO: 0.05139664804469274      WON: 0    	WON AVG RATIO: 0                        	
GEN: 109   BEST FITNESS: 70368745623526.72        	BEST SCORE: 46   	BEST RATIO: 0.053488372093023255     WON: 0    	WON AVG RATIO: 0                        	
GEN: 110   BEST FITNESS: 281474978228639.4        	BEST SCORE: 48   	BEST RATIO: 0.038803556992724336     WON: 0    	WON AVG RATIO: 0                        	
GEN: 111   BEST FITNESS: 35184373452758.625       	BEST SCORE: 45   	BEST RATIO: 0.0472193074501574       WON: 0    	WON AVG RATIO: 0                        	
GEN: 112   BEST FITNESS: 17592187365644.652       	BEST SCORE: 44   	BEST RATIO: 0.05459057071960298      WON: 0    	WON AVG RATIO: 0                        	
GEN: 113   BEST FITNESS: 70368745614804.02        	BEST SCORE: 46   	BEST RATIO: 0.05032822757111598      WON: 0    	WON AVG RATIO: 0                        	
GEN: 114   BEST FITNESS: 70368745599584.81        	BEST SCORE: 46   	BEST RATIO: 0.04572564612326044      WON: 0    	WON AVG RATIO: 0                        	
GEN: 115   BEST FITNESS: 8796094282810.35         	BEST SCORE: 43   	BEST RATIO: 0.054987212276214836     WON: 0    	WON AVG RATIO: 0                        	
GEN: 116   BEST FITNESS: 281474978255765.94       	BEST SCORE: 48   	BEST RATIO: 0.044036697247706424     WON: 0    	WON AVG RATIO: 0                        	
GEN: 117   BEST FITNESS: 562949955060812.0        	BEST SCORE: 49   	BEST RATIO: 0.05088265835929388      WON: 0    	WON AVG RATIO: 0                        	
GEN: 118   BEST FITNESS: 140737489835788.9        	BEST SCORE: 47   	BEST RATIO: 0.044256120527306965     WON: 0    	WON AVG RATIO: 0                        	
GEN: 119   BEST FITNESS: 35184373453080.02        	BEST SCORE: 45   	BEST RATIO: 0.0473186119873817       WON: 0    	WON AVG RATIO: 0                        	
GEN: 120   BEST FITNESS: 17592187358442.277       	BEST SCORE: 44   	BEST RATIO: 0.05152224824355972      WON: 0    	WON AVG RATIO: 0                        	
GEN: 121   BEST FITNESS: 140737489879029.06       	BEST SCORE: 47   	BEST RATIO: 0.058385093167701865     WON: 0    	WON AVG RATIO: 0                        	
GEN: 122   BEST FITNESS: 70368745608571.3         	BEST SCORE: 46   	BEST RATIO: 0.04831932773109244      WON: 0    	WON AVG RATIO: 0                        	
GEN: 123   BEST FITNESS: 35184373449695.195       	BEST SCORE: 45   	BEST RATIO: 0.046296296296296294     WON: 0    	WON AVG RATIO: 0                        	
GEN: 124   BEST FITNESS: 35184373470588.97        	BEST SCORE: 45   	BEST RATIO: 0.05357142857142857      WON: 0    	WON AVG RATIO: 0                        	
GEN: 125   BEST FITNESS: 70368745609560.48        	BEST SCORE: 46   	BEST RATIO: 0.048625792811839326     WON: 0    	WON AVG RATIO: 0                        	
GEN: 126   BEST FITNESS: 70368745593850.98        	BEST SCORE: 46   	BEST RATIO: 0.04423076923076923      WON: 0    	WON AVG RATIO: 0                        	
GEN: 127   BEST FITNESS: 7.205759404005723e+16    	BEST SCORE: 56   	BEST RATIO: 0.04516129032258064      WON: 0    	WON AVG RATIO: 0                        	
GEN: 128   BEST FITNESS: 2251799815485537.0       	BEST SCORE: 51   	BEST RATIO: 0.05679287305122494      WON: 0    	WON AVG RATIO: 0                        	
GEN: 129   BEST FITNESS: 281474978265998.44       	BEST SCORE: 48   	BEST RATIO: 0.046466602129719266     WON: 0    	WON AVG RATIO: 0                        	
GEN: 130   BEST FITNESS: 2251799815424446.0       	BEST SCORE: 51   	BEST RATIO: 0.04197530864197531      WON: 0    	WON AVG RATIO: 0                        	
