GEN: 64    BEST FITNESS: 24.187667560321717       	BEST SCORE: 26   	BEST RATIO: 0.07492795389048991      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 65    BEST FITNESS: 23.951515151515153       	BEST SCORE: 26   	BEST RATIO: 0.08552631578947369      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 66    BEST FITNESS: 17.381165919282513       	BEST SCORE: 19   	BEST RATIO: 0.09313725490196079      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 67    BEST FITNESS: 22.866894197952217       	BEST SCORE: 25   	BEST RATIO: 0.09328358208955224      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 68    BEST FITNESS: 21.026119402985074       	BEST SCORE: 23   	BEST RATIO: 0.09387755102040816      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 69    BEST FITNESS: 24.132596685082873       	BEST SCORE: 26   	BEST RATIO: 0.07738095238095238      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 70    BEST FITNESS: 28.345588235294116       	BEST SCORE: 30   	BEST RATIO: 0.058365758754863814     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 71    BEST FITNESS: 22.83400809716599        	BEST SCORE: 24   	BEST RATIO: 0.05106382978723404      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 72    BEST FITNESS: 23.273480662983424       	BEST SCORE: 25   	BEST RATIO: 0.07418397626112759      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 73    BEST FITNESS: 21.36986301369863        	BEST SCORE: 24   	BEST RATIO: 0.12307692307692308      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 74    BEST FITNESS: 23.25418994413408        	BEST SCORE: 25   	BEST RATIO: 0.07507507507507508      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 75    BEST FITNESS: 19.360594795539033       	BEST SCORE: 21   	BEST RATIO: 0.0846774193548387       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 76    BEST FITNESS: 22.874149659863946       	BEST SCORE: 25   	BEST RATIO: 0.09293680297397769      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
