GEN: 48    AVG FITNESS: 7374.666666666682        	AVG SCORE: 0.205     	AVG RATIO: 0.0393021472392638       	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.13043478260869565      TOO_OLD: 4       	WON: 0    	
GEN: 49    AVG FITNESS: 7465.333333333343        	AVG SCORE: 0.214     	AVG RATIO: 0.04109062980030722      	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 5       	WON: 0    	
GEN: 50    AVG FITNESS: 7439.738095238111        	AVG SCORE: 0.212     	AVG RATIO: 0.042759177087535294     	BEST FITNESS: 58571.428571428565       	BEST SCORE: 5    	BEST RATIO: 0.078125                 TOO_OLD: 1       	WON: 0    	
GEN: 51    AVG FITNESS: 7508.166666666678        	AVG SCORE: 0.218     	AVG RATIO: 0.037245856825559545     	BEST FITNESS: 48333.33333333333        	BEST SCORE: 4    	BEST RATIO: 0.4                      TOO_OLD: 9       	WON: 0    	
GEN: 52    AVG FITNESS: 7515.000000000015        	AVG SCORE: 0.218     	AVG RATIO: 0.03925099027727764      	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 6       	WON: 0    	
GEN: 53    AVG FITNESS: 7467.833333333348        	AVG SCORE: 0.214     	AVG RATIO: 0.036612489307100086     	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.5                      TOO_OLD: 9       	WON: 0    	
GEN: 54    AVG FITNESS: 7601.000000000014        	AVG SCORE: 0.226     	AVG RATIO: 0.036079182630906766     	BEST FITNESS: 48333.33333333333        	BEST SCORE: 4    	BEST RATIO: 0.21052631578947367      TOO_OLD: 12      	WON: 0    	
GEN: 55    AVG FITNESS: 8107.000000000022        	AVG SCORE: 0.27      	AVG RATIO: 0.04380983287360052      	BEST FITNESS: 48333.33333333333        	BEST SCORE: 4    	BEST RATIO: 0.2222222222222222       TOO_OLD: 8       	WON: 0    	
GEN: 56    AVG FITNESS: 7827.055555555574        	AVG SCORE: 0.246     	AVG RATIO: 0.04385026737967914      	BEST FITNESS: 78888.88888888889        	BEST SCORE: 7    	BEST RATIO: 0.08641975308641975      TOO_OLD: 3       	WON: 0    	
GEN: 57    AVG FITNESS: 8339.000000000024        	AVG SCORE: 0.291     	AVG RATIO: 0.04522144522144522      	BEST FITNESS: 48333.33333333333        	BEST SCORE: 4    	BEST RATIO: 0.17391304347826086      TOO_OLD: 7       	WON: 0    	
GEN: 58    AVG FITNESS: 8336.333333333356        	AVG SCORE: 0.29      	AVG RATIO: 0.046653796653796646     	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 4       	WON: 0    	
GEN: 59    AVG FITNESS: 8580.500000000016        	AVG SCORE: 0.312     	AVG RATIO: 0.047308567096285066     	BEST FITNESS: 48333.33333333333        	BEST SCORE: 4    	BEST RATIO: 0.2                      TOO_OLD: 8       	WON: 0    	
GEN: 60    AVG FITNESS: 8539.988095238114        	AVG SCORE: 0.309     	AVG RATIO: 0.04744357438968218      	BEST FITNESS: 68750.0                  	BEST SCORE: 6    	BEST RATIO: 0.06666666666666667      TOO_OLD: 6       	WON: 0    	
GEN: 61    AVG FITNESS: 8711.25000000002         	AVG SCORE: 0.324     	AVG RATIO: 0.04723720658988191      	BEST FITNESS: 89000.0                  	BEST SCORE: 8    	BEST RATIO: 0.06451612903225806      TOO_OLD: 5       	WON: 0    	
GEN: 62    AVG FITNESS: 8850.333333333348        	AVG SCORE: 0.337     	AVG RATIO: 0.04655982315556784      	BEST FITNESS: 68750.0                  	BEST SCORE: 6    	BEST RATIO: 0.07142857142857142      TOO_OLD: 5       	WON: 0    	
GEN: 63    AVG FITNESS: 8763.960317460333        	AVG SCORE: 0.329     	AVG RATIO: 0.0456754130223518       	BEST FITNESS: 78888.88888888889        	BEST SCORE: 7    	BEST RATIO: 0.11475409836065574      TOO_OLD: 4       	WON: 0    	
GEN: 64    AVG FITNESS: 8764.250000000013        	AVG SCORE: 0.329     	AVG RATIO: 0.0417036379769299       	BEST FITNESS: 68750.0                  	BEST SCORE: 6    	BEST RATIO: 0.15                     TOO_OLD: 10      	WON: 0    	
