GEN: 81    BEST FITNESS: 35184373467638.9         	BEST SCORE: 45   	BEST RATIO: 0.05238649592549476      WON: 0    	WON AVG RATIO: 0                        	
GEN: 82    BEST FITNESS: 8796094247070.533        	BEST SCORE: 43   	BEST RATIO: 0.04211557296767875      WON: 0    	WON AVG RATIO: 0                        	
GEN: 83    BEST FITNESS: 8796094279064.912        	BEST SCORE: 43   	BEST RATIO: 0.053217821782178217     WON: 0    	WON AVG RATIO: 0                        	
GEN: 84    BEST FITNESS: 2251799815482591.0       	BEST SCORE: 51   	BEST RATIO: 0.05579868708971553      WON: 0    	WON AVG RATIO: 0                        	
GEN: 85    BEST FITNESS: 17592187364154.574       	BEST SCORE: 44   	BEST RATIO: 0.05392156862745098      WON: 0    	WON AVG RATIO: 0                        	
GEN: 86    BEST FITNESS: 1125899908518498.2       	BEST SCORE: 50   	BEST RATIO: 0.04310344827586207      WON: 0    	WON AVG RATIO: 0                        	
GEN: 87    BEST FITNESS: 3.602879702104046e+16    	BEST SCORE: 55   	BEST RATIO: 0.049818840579710144     WON: 0    	WON AVG RATIO: 0                        	
GEN: 88    BEST FITNESS: 4503599629208177.0       	BEST SCORE: 52   	BEST RATIO: 0.0471441523118767       WON: 0    	WON AVG RATIO: 0                        	
GEN: 89    BEST FITNESS: 5.764607523057427e+17    	BEST SCORE: 59   	BEST RATIO: 0.03902116402116402      WON: 0    	WON AVG RATIO: 0                        	
GEN: 90    BEST FITNESS: 4.611686018430008e+18    	BEST SCORE: 62   	BEST RATIO: 0.04454022988505747      WON: 0    	WON AVG RATIO: 0                        	
GEN: 91    BEST FITNESS: 7.555786372591432e+22    	BEST SCORE: 76   	BEST RATIO: 0.03671497584541063      WON: 0    	WON AVG RATIO: 0                        	
GEN: 92    BEST FITNESS: 4.611686018429939e+18    	BEST SCORE: 62   	BEST RATIO: 0.037575757575757575     WON: 0    	WON AVG RATIO: 0                        	
GEN: 93    BEST FITNESS: 9.223372036857465e+18    	BEST SCORE: 63   	BEST RATIO: 0.04259634888438134      WON: 0    	WON AVG RATIO: 0                        	
GEN: 94    BEST FITNESS: 1.8446744073712357e+19   	BEST SCORE: 64   	BEST RATIO: 0.04551920341394026      WON: 0    	WON AVG RATIO: 0                        	
GEN: 95    BEST FITNESS: 4.611686018430018e+18    	BEST SCORE: 62   	BEST RATIO: 0.045756457564575644     WON: 0    	WON AVG RATIO: 0                        	
GEN: 96    BEST FITNESS: 2.8823037615394554e+17   	BEST SCORE: 58   	BEST RATIO: 0.038436050364479786     WON: 0    	WON AVG RATIO: 0                        	
GEN: 97    BEST FITNESS: 1.475739525896794e+20    	BEST SCORE: 67   	BEST RATIO: 0.038505747126436785     WON: 0    	WON AVG RATIO: 0                        	
GEN: 98    BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.04277743335399876      WON: 0    	WON AVG RATIO: 0                        	
GEN: 99    BEST FITNESS: 9.223372036857416e+18    	BEST SCORE: 63   	BEST RATIO: 0.037997587454764774     WON: 0    	WON AVG RATIO: 0                        	
GEN: 100   BEST FITNESS: 7.555786372591432e+22    	BEST SCORE: 76   	BEST RATIO: 0.04834605597964377      WON: 0    	WON AVG RATIO: 0                        	
GEN: 101   BEST FITNESS: 4.611686018430069e+18    	BEST SCORE: 62   	BEST RATIO: 0.05349439171699741      WON: 0    	WON AVG RATIO: 0                        	
GEN: 102   BEST FITNESS: 1.1529215046092977e+18   	BEST SCORE: 60   	BEST RATIO: 0.044709388971684055     WON: 0    	WON AVG RATIO: 0                        	
GEN: 103   BEST FITNESS: 3.689348814742192e+19    	BEST SCORE: 65   	BEST RATIO: 0.0384160756501182       WON: 0    	WON AVG RATIO: 0                        	
GEN: 104   BEST FITNESS: 1.84467440737123e+19     	BEST SCORE: 64   	BEST RATIO: 0.03997501561524047      WON: 0    	WON AVG RATIO: 0                        	
GEN: 105   BEST FITNESS: 1.152921504609265e+18    	BEST SCORE: 60   	BEST RATIO: 0.04078857919782461      WON: 0    	WON AVG RATIO: 0                        	
GEN: 106   BEST FITNESS: 4.611686018430081e+18    	BEST SCORE: 62   	BEST RATIO: 0.055855855855855854     WON: 0    	WON AVG RATIO: 0                        	
GEN: 107   BEST FITNESS: 4.611686018429996e+18    	BEST SCORE: 62   	BEST RATIO: 0.043115438108484005     WON: 0    	WON AVG RATIO: 0                        	
GEN: 108   BEST FITNESS: 5.764607523057828e+17    	BEST SCORE: 59   	BEST RATIO: 0.04360679970436068      WON: 0    	WON AVG RATIO: 0                        	
GEN: 109   BEST FITNESS: 4.611686018429988e+18    	BEST SCORE: 62   	BEST RATIO: 0.04229195088676671      WON: 0    	WON AVG RATIO: 0                        	
GEN: 110   BEST FITNESS: 4.611686018430025e+18    	BEST SCORE: 62   	BEST RATIO: 0.046686746987951805     WON: 0    	WON AVG RATIO: 0                        	
GEN: 111   BEST FITNESS: 1.1529215046092961e+18   	BEST SCORE: 60   	BEST RATIO: 0.04451038575667656      WON: 0    	WON AVG RATIO: 0                        	
GEN: 112   BEST FITNESS: 1.801439851147416e+16    	BEST SCORE: 54   	BEST RATIO: 0.04830053667262969      WON: 0    	WON AVG RATIO: 0                        	
GEN: 113   BEST FITNESS: 3.60287970210046e+16     	BEST SCORE: 55   	BEST RATIO: 0.04337539432176656      WON: 0    	WON AVG RATIO: 0                        	
GEN: 114   BEST FITNESS: 3.602879702104346e+16    	BEST SCORE: 55   	BEST RATIO: 0.05045871559633028      WON: 0    	WON AVG RATIO: 0                        	
GEN: 115   BEST FITNESS: 1.4411518807807392e+17   	BEST SCORE: 57   	BEST RATIO: 0.04672131147540984      WON: 0    	WON AVG RATIO: 0                        	
GEN: 116   BEST FITNESS: 4.61168601843006e+18     	BEST SCORE: 62   	BEST RATIO: 0.05188284518828452      WON: 0    	WON AVG RATIO: 0                        	
GEN: 117   BEST FITNESS: 2.882303761539939e+17    	BEST SCORE: 58   	BEST RATIO: 0.04420731707317073      WON: 0    	WON AVG RATIO: 0                        	
GEN: 118   BEST FITNESS: 9.223372036857473e+18    	BEST SCORE: 63   	BEST RATIO: 0.04329896907216495      WON: 0    	WON AVG RATIO: 0                        	
GEN: 119   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.041666666666666664     WON: 0    	WON AVG RATIO: 0                        	
