GEN: 72    AVG FITNESS: 0.2410258865138709       	AVG SCORE: 0.271     	AVG RATIO: 0.03405806208369989      	BEST FITNESS: 3.0588235294117645       	BEST SCORE: 4    	BEST RATIO: 0.3076923076923077       TOO_OLD: 3       	WON: 0    	
GEN: 73    AVG FITNESS: 0.22266157023866648      	AVG SCORE: 0.249     	AVG RATIO: 0.029338989042064334     	BEST FITNESS: 3.238095238095238        	BEST SCORE: 4    	BEST RATIO: 0.23529411764705882      TOO_OLD: 8       	WON: 0    	
GEN: 74    AVG FITNESS: 0.272381564096727        	AVG SCORE: 0.303     	AVG RATIO: 0.03247936541965912      	BEST FITNESS: 3.5789473684210527       	BEST SCORE: 4    	BEST RATIO: 0.11764705882352941      TOO_OLD: 10      	WON: 0    	
GEN: 75    AVG FITNESS: 0.28557991920276987      	AVG SCORE: 0.316     	AVG RATIO: 0.03171735421057915      	BEST FITNESS: 3.5428571428571427       	BEST SCORE: 4    	BEST RATIO: 0.12903225806451613      TOO_OLD: 9       	WON: 0    	
GEN: 76    AVG FITNESS: 0.24752661842888332      	AVG SCORE: 0.274     	AVG RATIO: 0.028730208661004508     	BEST FITNESS: 2.3076923076923075       	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 9       	WON: 0    	
GEN: 77    AVG FITNESS: 0.3331986056192092       	AVG SCORE: 0.369     	AVG RATIO: 0.03575234957852921      	BEST FITNESS: 3.4074074074074074       	BEST SCORE: 4    	BEST RATIO: 0.17391304347826086      TOO_OLD: 11      	WON: 0    	
GEN: 78    AVG FITNESS: 0.3006139168060734       	AVG SCORE: 0.331     	AVG RATIO: 0.029511412268188306     	BEST FITNESS: 3.7333333333333334       	BEST SCORE: 4    	BEST RATIO: 0.07142857142857142      TOO_OLD: 18      	WON: 0    	
GEN: 79    AVG FITNESS: 0.3022393281357176       	AVG SCORE: 0.332     	AVG RATIO: 0.02931308493731238      	BEST FITNESS: 2.4375                   	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 19      	WON: 0    	
GEN: 80    AVG FITNESS: 0.3260443668758965       	AVG SCORE: 0.356     	AVG RATIO: 0.02667266052296396      	BEST FITNESS: 4.838709677419355        	BEST SCORE: 6    	BEST RATIO: 0.24                     TOO_OLD: 29      	WON: 0    	
GEN: 81    AVG FITNESS: 0.35474340002966415      	AVG SCORE: 0.388     	AVG RATIO: 0.028481244953387656     	BEST FITNESS: 3.3043478260869565       	BEST SCORE: 4    	BEST RATIO: 0.21052631578947367      TOO_OLD: 30      	WON: 0    	
GEN: 82    AVG FITNESS: 0.3314373284266288       	AVG SCORE: 0.363     	AVG RATIO: 0.025930423601685834     	BEST FITNESS: 3.515151515151515        	BEST SCORE: 4    	BEST RATIO: 0.13793103448275862      TOO_OLD: 33      	WON: 0    	
