GEN: 104   AVG FITNESS: 725977620.6678624        	AVG SCORE: 5.514     	AVG RATIO: 0.03150407084702186      	BEST SCORE: 33   	BEST RATIO: 0.03148854961832061      TOO_OLD: 164     	WON: 0    	
GEN: 105   AVG FITNESS: 585444799.7242229        	AVG SCORE: 5.094     	AVG RATIO: 0.031880139686831135     	BEST SCORE: 37   	BEST RATIO: 0.03631010794896958      TOO_OLD: 134     	WON: 0    	
GEN: 106   AVG FITNESS: 969160386.0249835        	AVG SCORE: 5.828     	AVG RATIO: 0.032937905153753555     	BEST SCORE: 45   	BEST RATIO: 0.037562604340567615     TOO_OLD: 122     	WON: 0    	
GEN: 107   AVG FITNESS: 993316247.8924674        	AVG SCORE: 5.95      	AVG RATIO: 0.03269464302395226      	BEST SCORE: 42   	BEST RATIO: 0.03611349957007739      TOO_OLD: 148     	WON: 0    	
GEN: 108   AVG FITNESS: 1061449057.4006289       	AVG SCORE: 5.913     	AVG RATIO: 0.0336111047952525       	BEST SCORE: 37   	BEST RATIO: 0.031092436974789917     TOO_OLD: 129     	WON: 0    	
GEN: 109   AVG FITNESS: 1403139788.1557627       	AVG SCORE: 6.018     	AVG RATIO: 0.034348726905361206     	BEST SCORE: 40   	BEST RATIO: 0.03319502074688797      TOO_OLD: 119     	WON: 0    	
GEN: 110   AVG FITNESS: 874804050.6416088        	AVG SCORE: 5.771     	AVG RATIO: 0.03331428340520352      	BEST SCORE: 39   	BEST RATIO: 0.03724928366762178      TOO_OLD: 124     	WON: 0    	
GEN: 111   AVG FITNESS: 1278192394.90804         	AVG SCORE: 6.251     	AVG RATIO: 0.03390317716864268      	BEST SCORE: 39   	BEST RATIO: 0.031630170316301706     TOO_OLD: 151     	WON: 0    	
GEN: 112   AVG FITNESS: 1325456769.5007915       	AVG SCORE: 5.908     	AVG RATIO: 0.034389624903955855     	BEST SCORE: 44   	BEST RATIO: 0.037193575655114115     TOO_OLD: 141     	WON: 0    	
GEN: 113   AVG FITNESS: 1038491383.7138126       	AVG SCORE: 5.593     	AVG RATIO: 0.03389594254719554      	BEST SCORE: 41   	BEST RATIO: 0.04124748490945674      TOO_OLD: 126     	WON: 0    	
GEN: 114   AVG FITNESS: 1541023140.8055513       	AVG SCORE: 6.485     	AVG RATIO: 0.03406613610695244      	BEST SCORE: 42   	BEST RATIO: 0.03502919099249374      TOO_OLD: 133     	WON: 0    	
GEN: 115   AVG FITNESS: 1471243541.8305788       	AVG SCORE: 6.341     	AVG RATIO: 0.035082963102305485     	BEST SCORE: 42   	BEST RATIO: 0.040501446480231434     TOO_OLD: 112     	WON: 0    	
GEN: 116   AVG FITNESS: 1563983450.960614        	AVG SCORE: 6.784     	AVG RATIO: 0.03504983131235372      	BEST SCORE: 40   	BEST RATIO: 0.034934497816593885     TOO_OLD: 128     	WON: 0    	
GEN: 117   AVG FITNESS: 1811694908.9423864       	AVG SCORE: 6.884     	AVG RATIO: 0.03496386288721056      	BEST SCORE: 42   	BEST RATIO: 0.03592814371257485      TOO_OLD: 124     	WON: 0    	
GEN: 118   AVG FITNESS: 1970344379.6450253       	AVG SCORE: 7.137     	AVG RATIO: 0.035213491350812615     	BEST SCORE: 41   	BEST RATIO: 0.03516295025728988      TOO_OLD: 122     	WON: 0    	
GEN: 119   AVG FITNESS: 2103192186.7154176       	AVG SCORE: 7.216     	AVG RATIO: 0.0342282515890333       	BEST SCORE: 40   	BEST RATIO: 0.03568242640499554      TOO_OLD: 108     	WON: 0    	
GEN: 120   AVG FITNESS: 2125397136.3718948       	AVG SCORE: 7.327     	AVG RATIO: 0.03520784980803145      	BEST SCORE: 40   	BEST RATIO: 0.030303030303030304     TOO_OLD: 119     	WON: 0    	
GEN: 121   AVG FITNESS: 2693898499.172465        	AVG SCORE: 6.77      	AVG RATIO: 0.03483908152447998      	BEST SCORE: 40   	BEST RATIO: 0.029175784099197667     TOO_OLD: 111     	WON: 0    	
GEN: 122   AVG FITNESS: 3189036347.3039393       	AVG SCORE: 7.987     	AVG RATIO: 0.03474315642032825      	BEST SCORE: 41   	BEST RATIO: 0.029243937232524966     TOO_OLD: 127     	WON: 0    	
GEN: 123   AVG FITNESS: 3459899175.657727        	AVG SCORE: 7.252     	AVG RATIO: 0.034651809520168955     	BEST SCORE: 47   	BEST RATIO: 0.034407027818448024     TOO_OLD: 109     	WON: 0    	
GEN: 124   AVG FITNESS: 3030605922.4693246       	AVG SCORE: 7.312     	AVG RATIO: 0.035167710347348474     	BEST SCORE: 45   	BEST RATIO: 0.030160857908847184     TOO_OLD: 132     	WON: 0    	
GEN: 125   AVG FITNESS: 1908960842.3232996       	AVG SCORE: 6.945     	AVG RATIO: 0.035203771289537715     	BEST SCORE: 40   	BEST RATIO: 0.035555555555555556     TOO_OLD: 137     	WON: 0    	
GEN: 126   AVG FITNESS: 2843673245.8640695       	AVG SCORE: 7.463     	AVG RATIO: 0.036027729234453        	BEST SCORE: 40   	BEST RATIO: 0.029585798816568046     TOO_OLD: 86      	WON: 0    	
GEN: 127   AVG FITNESS: 2923963232.72333         	AVG SCORE: 7.619     	AVG RATIO: 0.0358791063893912       	BEST SCORE: 40   	BEST RATIO: 0.032025620496397116     TOO_OLD: 99      	WON: 0    	
GEN: 128   AVG FITNESS: 2803742025.8742456       	AVG SCORE: 7.881     	AVG RATIO: 0.034983132102272725     	BEST SCORE: 41   	BEST RATIO: 0.03459915611814346      TOO_OLD: 123     	WON: 0    	
