GEN: 152   BEST FITNESS: 140737489820375.4        	BEST SCORE: 47   	BEST RATIO: 0.040905134899912966     WON: 0    	
GEN: 153   BEST FITNESS: 281474978268486.1        	BEST SCORE: 48   	BEST RATIO: 0.047105004906771344     WON: 0    	
GEN: 154   BEST FITNESS: 70368745599752.58        	BEST SCORE: 46   	BEST RATIO: 0.045771144278606964     WON: 0    	
GEN: 155   BEST FITNESS: 281474978264215.3        	BEST SCORE: 48   	BEST RATIO: 0.046021093000958774     WON: 0    	
GEN: 156   BEST FITNESS: 2251799815448998.0       	BEST SCORE: 51   	BEST RATIO: 0.04674610449129239      WON: 0    	
GEN: 157   BEST FITNESS: 562949955068091.9        	BEST SCORE: 49   	BEST RATIO: 0.05314533622559653      WON: 0    	
GEN: 158   BEST FITNESS: 2251799815459435.0       	BEST SCORE: 51   	BEST RATIO: 0.04918032786885246      WON: 0    	
GEN: 159   BEST FITNESS: 2251799815482221.5       	BEST SCORE: 51   	BEST RATIO: 0.055676855895196505     WON: 0    	
GEN: 160   BEST FITNESS: 281474978248487.7        	BEST SCORE: 48   	BEST RATIO: 0.04247787610619469      WON: 0    	
GEN: 161   BEST FITNESS: 1125899908536668.2       	BEST SCORE: 50   	BEST RATIO: 0.046948356807511735     WON: 0    	
GEN: 162   BEST FITNESS: 562949955045972.6        	BEST SCORE: 49   	BEST RATIO: 0.04688995215311005      WON: 0    	
GEN: 163   BEST FITNESS: 281474978280073.3        	BEST SCORE: 48   	BEST RATIO: 0.05036726128016789      WON: 0    	
GEN: 164   BEST FITNESS: 1125899908565442.5       	BEST SCORE: 50   	BEST RATIO: 0.05500550055005501      WON: 0    	
GEN: 165   BEST FITNESS: 140737489887476.06       	BEST SCORE: 47   	BEST RATIO: 0.0625                   WON: 0    	
GEN: 166   BEST FITNESS: 2251799815460776.0       	BEST SCORE: 51   	BEST RATIO: 0.04951456310679612      WON: 0    	
GEN: 167   BEST FITNESS: 281474978292100.44       	BEST SCORE: 48   	BEST RATIO: 0.05436013590033975      WON: 0    	
GEN: 168   BEST FITNESS: 562949955055786.1        	BEST SCORE: 49   	BEST RATIO: 0.04944500504540868      WON: 0    	
GEN: 169   BEST FITNESS: 1.8014398511478984e+16   	BEST SCORE: 54   	BEST RATIO: 0.049315068493150684     WON: 0    	
GEN: 170   BEST FITNESS: 2251799815442935.0       	BEST SCORE: 51   	BEST RATIO: 0.045454545454545456     WON: 0    	
GEN: 171   BEST FITNESS: 1.4411518807811024e+17   	BEST SCORE: 57   	BEST RATIO: 0.053824362606232294     WON: 0    	
GEN: 172   BEST FITNESS: 1.8446744073712366e+19   	BEST SCORE: 64   	BEST RATIO: 0.046511627906976744     WON: 0    	
GEN: 173   BEST FITNESS: 9.223372036857444e+18    	BEST SCORE: 63   	BEST RATIO: 0.040410519563822966     WON: 0    	
GEN: 174   BEST FITNESS: 1.1529215046092534e+18   	BEST SCORE: 60   	BEST RATIO: 0.039603960396039604     WON: 0    	
GEN: 175   BEST FITNESS: 4.611686018430013e+18    	BEST SCORE: 62   	BEST RATIO: 0.04525547445255475      WON: 0    	
GEN: 176   BEST FITNESS: 3.6893488147422e+19      	BEST SCORE: 65   	BEST RATIO: 0.04672897196261682      WON: 0    	
GEN: 177   BEST FITNESS: 2.9514790517935604e+20   	BEST SCORE: 68   	BEST RATIO: 0.051515151515151514     WON: 0    	
GEN: 178   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.04758620689655172      WON: 0    	
GEN: 179   BEST FITNESS: 2.3058430092162084e+18   	BEST SCORE: 61   	BEST RATIO: 0.04221453287197232      WON: 0    	
GEN: 180   BEST FITNESS: 6.044629098073146e+23    	BEST SCORE: 79   	BEST RATIO: 0.046773238602723505     WON: 0    	
GEN: 181   BEST FITNESS: 1.1805916207174147e+21   	BEST SCORE: 70   	BEST RATIO: 0.045841519318926        WON: 0    	
GEN: 182   BEST FITNESS: 1.844674407371234e+19    	BEST SCORE: 64   	BEST RATIO: 0.0438957475994513       WON: 0    	
GEN: 183   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.04169079328314997      WON: 0    	
GEN: 184   BEST FITNESS: 1.475739525896795e+20    	BEST SCORE: 67   	BEST RATIO: 0.045454545454545456     WON: 0    	
GEN: 185   BEST FITNESS: 2.95147905179356e+20     	BEST SCORE: 68   	BEST RATIO: 0.043037974683544304     WON: 0    	
GEN: 186   BEST FITNESS: 1.4757395258967943e+20   	BEST SCORE: 67   	BEST RATIO: 0.04004781829049611      WON: 0    	
GEN: 187   BEST FITNESS: 2.4178516392292583e+24   	BEST SCORE: 81   	BEST RATIO: 0.045556805399325086     WON: 0    	
