GEN: 107   BEST FITNESS: 8796094290328.38         	BEST SCORE: 43   	BEST RATIO: 0.05898491083676269      WON: 0    	
GEN: 108   BEST FITNESS: 8796094294234.717        	BEST SCORE: 43   	BEST RATIO: 0.06134094151212553      WON: 0    	
GEN: 109   BEST FITNESS: 4398047708081.516        	BEST SCORE: 42   	BEST RATIO: 0.053164556962025315     WON: 0    	
GEN: 110   BEST FITNESS: 17592187401735.844       	BEST SCORE: 44   	BEST RATIO: 0.08                     WON: 0    	
GEN: 111   BEST FITNESS: 17592187368460.41        	BEST SCORE: 44   	BEST RATIO: 0.05590851334180432      WON: 0    	
GEN: 112   BEST FITNESS: 8796094297820.088        	BEST SCORE: 43   	BEST RATIO: 0.0637037037037037       WON: 0    	
GEN: 113   BEST FITNESS: 4398047712111.634        	BEST SCORE: 42   	BEST RATIO: 0.05519053876478318      WON: 0    	
GEN: 114   BEST FITNESS: 549756854870.5736        	BEST SCORE: 39   	BEST RATIO: 0.0633116883116883       WON: 0    	
GEN: 115   BEST FITNESS: 2199024391991.35         	BEST SCORE: 41   	BEST RATIO: 0.05203045685279188      WON: 0    	
GEN: 116   BEST FITNESS: 1099512717205.4595       	BEST SCORE: 40   	BEST RATIO: 0.05763688760806916      WON: 0    	
GEN: 117   BEST FITNESS: 8796094278920.121        	BEST SCORE: 43   	BEST RATIO: 0.05315203955500618      WON: 0    	
GEN: 118   BEST FITNESS: 1099512700555.485        	BEST SCORE: 40   	BEST RATIO: 0.04866180048661801      WON: 0    	
GEN: 119   BEST FITNESS: 4398047690647.538        	BEST SCORE: 42   	BEST RATIO: 0.046052631578947366     WON: 0    	
GEN: 120   BEST FITNESS: 4398047711004.435        	BEST SCORE: 42   	BEST RATIO: 0.054616384915474644     WON: 0    	
GEN: 121   BEST FITNESS: 4398047709476.349        	BEST SCORE: 42   	BEST RATIO: 0.05384615384615385      WON: 0    	
GEN: 122   BEST FITNESS: 8796094293401.547        	BEST SCORE: 43   	BEST RATIO: 0.06082036775106082      WON: 0    	
GEN: 123   BEST FITNESS: 2199024410191.8345       	BEST SCORE: 41   	BEST RATIO: 0.06307692307692307      WON: 0    	
GEN: 124   BEST FITNESS: 17592187366387.605       	BEST SCORE: 44   	BEST RATIO: 0.05493133583021224      WON: 0    	
GEN: 125   BEST FITNESS: 35184373453401.23        	BEST SCORE: 45   	BEST RATIO: 0.04741833508956796      WON: 0    	
GEN: 126   BEST FITNESS: 8796094291589.021        	BEST SCORE: 43   	BEST RATIO: 0.059722222222222225     WON: 0    	
