GEN: 59    AVG FITNESS: 1921.6484313017966       	AVG SCORE: 0.809     	AVG RATIO: 0.030831967681695188     	BEST SCORE: 14   	BEST RATIO: 0.06666666666666667      TOO_OLD: 109     	WON: 0    	
GEN: 60    AVG FITNESS: 1205.824354586276        	AVG SCORE: 0.654     	AVG RATIO: 0.030035822540644807     	BEST SCORE: 13   	BEST RATIO: 0.07784431137724551      TOO_OLD: 74      	WON: 0    	
GEN: 61    AVG FITNESS: 1347.9841596164129       	AVG SCORE: 0.735     	AVG RATIO: 0.0301056770705333       	BEST SCORE: 14   	BEST RATIO: 0.0603448275862069       TOO_OLD: 87      	WON: 0    	
GEN: 62    AVG FITNESS: 1499.6711627711616       	AVG SCORE: 0.821     	AVG RATIO: 0.031047914381877997     	BEST SCORE: 13   	BEST RATIO: 0.052                    TOO_OLD: 99      	WON: 0    	
GEN: 63    AVG FITNESS: 2927.4995134231904       	AVG SCORE: 0.799     	AVG RATIO: 0.03274053433863301      	BEST SCORE: 20   	BEST RATIO: 0.0711743772241993       TOO_OLD: 84      	WON: 0    	
GEN: 64    AVG FITNESS: 2152.6799553286132       	AVG SCORE: 0.955     	AVG RATIO: 0.039426967219882744     	BEST SCORE: 10   	BEST RATIO: 0.07407407407407407      TOO_OLD: 63      	WON: 0    	
GEN: 65    AVG FITNESS: 2314.8894348538443       	AVG SCORE: 0.985     	AVG RATIO: 0.037693249655594674     	BEST SCORE: 13   	BEST RATIO: 0.06220095693779904      TOO_OLD: 80      	WON: 0    	
GEN: 66    AVG FITNESS: 2521.6744553923513       	AVG SCORE: 1.045     	AVG RATIO: 0.038655027003033214     	BEST SCORE: 12   	BEST RATIO: 0.05687203791469194      TOO_OLD: 81      	WON: 0    	
GEN: 67    AVG FITNESS: 2808.1115256591415       	AVG SCORE: 1.045     	AVG RATIO: 0.040591982597886885     	BEST SCORE: 15   	BEST RATIO: 0.09316770186335403      TOO_OLD: 64      	WON: 0    	
GEN: 68    AVG FITNESS: 3175.7897599958787       	AVG SCORE: 1.072     	AVG RATIO: 0.03818751781134227      	BEST SCORE: 15   	BEST RATIO: 0.07075471698113207      TOO_OLD: 83      	WON: 0    	
GEN: 69    AVG FITNESS: 6206.168381071492        	AVG SCORE: 1.223     	AVG RATIO: 0.0413566887596375       	BEST SCORE: 21   	BEST RATIO: 0.08860759493670886      TOO_OLD: 91      	WON: 0    	
GEN: 70    AVG FITNESS: 3209.564786037661        	AVG SCORE: 1.198     	AVG RATIO: 0.037587851405622486     	BEST SCORE: 14   	BEST RATIO: 0.04472843450479233      TOO_OLD: 113     	WON: 0    	
GEN: 71    AVG FITNESS: 2828.777622797772        	AVG SCORE: 1.098     	AVG RATIO: 0.03726075743179042      	BEST SCORE: 14   	BEST RATIO: 0.08333333333333333      TOO_OLD: 99      	WON: 0    	
GEN: 72    AVG FITNESS: 3363.8222427202136       	AVG SCORE: 1.135     	AVG RATIO: 0.036843472050899176     	BEST SCORE: 16   	BEST RATIO: 0.08                     TOO_OLD: 108     	WON: 0    	
GEN: 73    AVG FITNESS: 3425.1880840792505       	AVG SCORE: 1.192     	AVG RATIO: 0.03715131681471092      	BEST SCORE: 15   	BEST RATIO: 0.0684931506849315       TOO_OLD: 116     	WON: 0    	
GEN: 74    AVG FITNESS: 3266.6508011786245       	AVG SCORE: 1.18      	AVG RATIO: 0.03584120523646083      	BEST SCORE: 13   	BEST RATIO: 0.053061224489795916     TOO_OLD: 119     	WON: 0    	
GEN: 75    AVG FITNESS: 4792.611535517791        	AVG SCORE: 1.295     	AVG RATIO: 0.03589942616361267      	BEST SCORE: 19   	BEST RATIO: 0.08050847457627118      TOO_OLD: 130     	WON: 0    	
GEN: 76    AVG FITNESS: 4936.7023348805915       	AVG SCORE: 1.46      	AVG RATIO: 0.03469994058229352      	BEST SCORE: 17   	BEST RATIO: 0.05519480519480519      TOO_OLD: 163     	WON: 0    	
GEN: 77    AVG FITNESS: 5016.278569043974        	AVG SCORE: 1.521     	AVG RATIO: 0.03664177306673091      	BEST SCORE: 15   	BEST RATIO: 0.057692307692307696     TOO_OLD: 150     	WON: 0    	
GEN: 78    AVG FITNESS: 19279.019859011652       	AVG SCORE: 1.598     	AVG RATIO: 0.03559495700984542      	BEST SCORE: 23   	BEST RATIO: 0.05542168674698795      TOO_OLD: 159     	WON: 0    	
