GEN: 67    AVG FITNESS: 1.0046053124824523       	AVG SCORE: 1.069     	AVG RATIO: 0.026419197785631315     	BEST FITNESS: 19.894736842105264       	BEST SCORE: 21   	BEST RATIO: 0.05555555555555555      TOO_OLD: 176     	WON: 0    	
GEN: 68    AVG FITNESS: 1.0839671744724784       	AVG SCORE: 1.144     	AVG RATIO: 0.025565388397246803     	BEST FITNESS: 21.016260162601625       	BEST SCORE: 22   	BEST RATIO: 0.04680851063829787      TOO_OLD: 205     	WON: 0    	
GEN: 69    AVG FITNESS: 1.1988936769679985       	AVG SCORE: 1.264     	AVG RATIO: 0.028022258186090852     	BEST FITNESS: 16.82608695652174        	BEST SCORE: 18   	BEST RATIO: 0.06976744186046512      TOO_OLD: 189     	WON: 0    	
GEN: 70    AVG FITNESS: 1.1850090412891385       	AVG SCORE: 1.251     	AVG RATIO: 0.025242130750605322     	BEST FITNESS: 20.63276836158192        	BEST SCORE: 22   	BEST RATIO: 0.06626506024096386      TOO_OLD: 246     	WON: 0    	
GEN: 71    AVG FITNESS: 1.4797192169910376       	AVG SCORE: 1.559     	AVG RATIO: 0.02869448381218825      	BEST FITNESS: 23.833955223880597       	BEST SCORE: 25   	BEST RATIO: 0.04892367906066536      TOO_OLD: 234     	WON: 0    	
GEN: 72    AVG FITNESS: 1.4965088343452293       	AVG SCORE: 1.576     	AVG RATIO: 0.028556932666521706     	BEST FITNESS: 29.018556701030928       	BEST SCORE: 31   	BEST RATIO: 0.06828193832599119      TOO_OLD: 233     	WON: 0    	
GEN: 73    AVG FITNESS: 1.9533015938985627       	AVG SCORE: 2.058     	AVG RATIO: 0.032267674312861594     	BEST FITNESS: 25.791549295774647       	BEST SCORE: 28   	BEST RATIO: 0.0856269113149847       TOO_OLD: 254     	WON: 0    	
GEN: 74    AVG FITNESS: 2.129736382724296        	AVG SCORE: 2.24      	AVG RATIO: 0.03239194250430206      	BEST FITNESS: 28.426573426573427       	BEST SCORE: 30   	BEST RATIO: 0.055350553505535055     TOO_OLD: 271     	WON: 0    	
GEN: 75    AVG FITNESS: 2.0289930515065664       	AVG SCORE: 2.139     	AVG RATIO: 0.03383208908009616      	BEST FITNESS: 28.221343873517785       	BEST SCORE: 30   	BEST RATIO: 0.06302521008403361      TOO_OLD: 225     	WON: 0    	
GEN: 76    AVG FITNESS: 2.415664350755681        	AVG SCORE: 2.545     	AVG RATIO: 0.03550006974473427      	BEST FITNESS: 25.186567164179106       	BEST SCORE: 27   	BEST RATIO: 0.072                    TOO_OLD: 255     	WON: 0    	
GEN: 77    AVG FITNESS: 2.4449342500936972       	AVG SCORE: 2.571     	AVG RATIO: 0.034036300091345964     	BEST FITNESS: 28.37837837837838        	BEST SCORE: 30   	BEST RATIO: 0.05714285714285714      TOO_OLD: 283     	WON: 0    	
GEN: 78    AVG FITNESS: 2.3474552965303936       	AVG SCORE: 2.474     	AVG RATIO: 0.03469894388420595      	BEST FITNESS: 26.11990407673861        	BEST SCORE: 28   	BEST RATIO: 0.07197943444730077      TOO_OLD: 267     	WON: 0    	
GEN: 79    AVG FITNESS: 2.7173544517622794       	AVG SCORE: 2.861     	AVG RATIO: 0.03664049793168808      	BEST FITNESS: 28.79080459770115        	BEST SCORE: 31   	BEST RATIO: 0.07673267326732673      TOO_OLD: 258     	WON: 0    	
GEN: 80    AVG FITNESS: 2.817434893229777        	AVG SCORE: 2.962     	AVG RATIO: 0.0363908887632995       	BEST FITNESS: 31.55186170212766        	BEST SCORE: 33   	BEST RATIO: 0.0458970792767733       TOO_OLD: 272     	WON: 0    	
GEN: 81    AVG FITNESS: 2.832677574007425        	AVG SCORE: 2.982     	AVG RATIO: 0.037081711578397604     	BEST FITNESS: 32.98850574712644        	BEST SCORE: 35   	BEST RATIO: 0.06097560975609756      TOO_OLD: 261     	WON: 0    	
GEN: 82    AVG FITNESS: 3.332062564575402        	AVG SCORE: 3.508     	AVG RATIO: 0.03871152848740331      	BEST FITNESS: 33.1958762886598         	BEST SCORE: 35   	BEST RATIO: 0.05434782608695652      TOO_OLD: 278     	WON: 0    	
