GEN: 69    AVG FITNESS: 1788647.2089550947       	AVG SCORE: 3.092     	AVG RATIO: 0.041308733350255845     	BEST FITNESS: 1074328866.1870303       	BEST SCORE: 30   	BEST RATIO: 0.04491017964071856      TOO_OLD: 205     	WON: 0    	
GEN: 70    AVG FITNESS: 603505.2774817758        	AVG SCORE: 3.185     	AVG RATIO: 0.04426070038910506      	BEST FITNESS: 268963162.026629         	BEST SCORE: 28   	BEST RATIO: 0.07547169811320754      TOO_OLD: 173     	WON: 0    	
GEN: 71    AVG FITNESS: 673134.088608049         	AVG SCORE: 3.393     	AVG RATIO: 0.039794984870164904     	BEST FITNESS: 268952465.07827276       	BEST SCORE: 28   	BEST RATIO: 0.05384615384615385      TOO_OLD: 279     	WON: 0    	
GEN: 72    AVG FITNESS: 892198.5775290132        	AVG SCORE: 3.178     	AVG RATIO: 0.0404938774990125       	BEST FITNESS: 537440802.1129452        	BEST SCORE: 29   	BEST RATIO: 0.08192090395480225      TOO_OLD: 245     	WON: 0    	
GEN: 73    AVG FITNESS: 2527929.360245185        	AVG SCORE: 3.276     	AVG RATIO: 0.042404473438956196     	BEST FITNESS: 2148132644.0264506       	BEST SCORE: 31   	BEST RATIO: 0.0684326710816777       TOO_OLD: 213     	WON: 0    	
GEN: 74    AVG FITNESS: 1502316.589194904        	AVG SCORE: 2.879     	AVG RATIO: 0.0481647539063807       	BEST FITNESS: 537427573.8268335        	BEST SCORE: 29   	BEST RATIO: 0.054613935969868174     TOO_OLD: 93      	WON: 0    	
GEN: 75    AVG FITNESS: 778617.3685962661        	AVG SCORE: 3.475     	AVG RATIO: 0.04462279293739968      	BEST FITNESS: 537437305.4695594        	BEST SCORE: 29   	BEST RATIO: 0.07196029776674938      TOO_OLD: 174     	WON: 0    	
GEN: 76    AVG FITNESS: 1299839.6206523962       	AVG SCORE: 3.807     	AVG RATIO: 0.05002036552838692      	BEST FITNESS: 1074348883.2468822       	BEST SCORE: 30   	BEST RATIO: 0.0702576112412178       TOO_OLD: 148     	WON: 0    	
GEN: 77    AVG FITNESS: 202815.7501951798        	AVG SCORE: 3.421     	AVG RATIO: 0.05420951716925222      	BEST FITNESS: 67555593.08728446        	BEST SCORE: 26   	BEST RATIO: 0.060324825986078884     TOO_OLD: 100     	WON: 0    	
GEN: 78    AVG FITNESS: 113861.21494578161       	AVG SCORE: 3.486     	AVG RATIO: 0.05339664547752164      	BEST FITNESS: 33973304.67833331        	BEST SCORE: 25   	BEST RATIO: 0.08561643835616438      TOO_OLD: 118     	WON: 0    	
GEN: 79    AVG FITNESS: 13019793.691339303       	AVG SCORE: 3.396     	AVG RATIO: 0.05243734848601825      	BEST FITNESS: 8590664158.891682        	BEST SCORE: 33   	BEST RATIO: 0.05631399317406143      TOO_OLD: 116     	WON: 0    	
GEN: 80    AVG FITNESS: 3543944.8377813953       	AVG SCORE: 4.096     	AVG RATIO: 0.05344467640918581      	BEST FITNESS: 2148131906.134525        	BEST SCORE: 31   	BEST RATIO: 0.0670995670995671       TOO_OLD: 111     	WON: 0    	
GEN: 81    AVG FITNESS: 2379417.572577804        	AVG SCORE: 4.081     	AVG RATIO: 0.04933510638297873      	BEST FITNESS: 1074350946.0293498       	BEST SCORE: 30   	BEST RATIO: 0.075                    TOO_OLD: 159     	WON: 0    	
GEN: 82    AVG FITNESS: 6362937.9870570125       	AVG SCORE: 4.318     	AVG RATIO: 0.04786449846474455      	BEST FITNESS: 2148133458.6978006       	BEST SCORE: 31   	BEST RATIO: 0.06997742663656885      TOO_OLD: 174     	WON: 0    	
GEN: 83    AVG FITNESS: 38960621.12651864        	AVG SCORE: 4.087     	AVG RATIO: 0.04535668309140142      	BEST FITNESS: 34360568891.12919        	BEST SCORE: 35   	BEST RATIO: 0.062388591800356503     TOO_OLD: 180     	WON: 0    	
GEN: 84    AVG FITNESS: 22320190.494129796       	AVG SCORE: 4.608     	AVG RATIO: 0.04577604704760391      	BEST FITNESS: 4295653287.729521        	BEST SCORE: 32   	BEST RATIO: 0.05807622504537205      TOO_OLD: 185     	WON: 0    	
GEN: 85    AVG FITNESS: 20406230.017975513       	AVG SCORE: 4.411     	AVG RATIO: 0.045192819966394814     	BEST FITNESS: 8590670341.587582        	BEST SCORE: 33   	BEST RATIO: 0.06346153846153846      TOO_OLD: 204     	WON: 0    	
GEN: 86    AVG FITNESS: 10493434.841394115       	AVG SCORE: 4.793     	AVG RATIO: 0.045470931997571344     	BEST FITNESS: 4295647232.13508         	BEST SCORE: 32   	BEST RATIO: 0.05186385737439222      TOO_OLD: 214     	WON: 0    	
GEN: 87    AVG FITNESS: 67000211.89048636        	AVG SCORE: 5.235     	AVG RATIO: 0.04637750491681285      	BEST FITNESS: 34360569597.1758         	BEST SCORE: 35   	BEST RATIO: 0.0631768953068592       TOO_OLD: 221     	WON: 0    	
GEN: 88    AVG FITNESS: 73027703.95993495        	AVG SCORE: 5.895     	AVG RATIO: 0.047155095870029515     	BEST FITNESS: 17180649693.385784       	BEST SCORE: 34   	BEST RATIO: 0.060714285714285714     TOO_OLD: 226     	WON: 0    	
GEN: 89    AVG FITNESS: 19451441.910005875       	AVG SCORE: 5.164     	AVG RATIO: 0.046436343362768195     	BEST FITNESS: 8590659916.558428        	BEST SCORE: 33   	BEST RATIO: 0.05238095238095238      TOO_OLD: 221     	WON: 0    	
GEN: 90    AVG FITNESS: 21045439.346436962       	AVG SCORE: 4.932     	AVG RATIO: 0.043716040737818984     	BEST FITNESS: 4295657556.890256        	BEST SCORE: 32   	BEST RATIO: 0.0636182902584493       TOO_OLD: 270     	WON: 0    	
GEN: 91    AVG FITNESS: 178219985.48602673       	AVG SCORE: 5.337     	AVG RATIO: 0.045269863350665435     	BEST FITNESS: 137439891611.53473       	BEST SCORE: 37   	BEST RATIO: 0.0687732342007435       TOO_OLD: 247     	WON: 0    	
GEN: 92    AVG FITNESS: 35763975.12310976        	AVG SCORE: 4.15      	AVG RATIO: 0.0439083743321166       	BEST FITNESS: 8590669973.330463        	BEST SCORE: 33   	BEST RATIO: 0.06297709923664122      TOO_OLD: 197     	WON: 0    	
GEN: 93    AVG FITNESS: 22576713.90663804        	AVG SCORE: 4.531     	AVG RATIO: 0.04358532854930404      	BEST FITNESS: 17180649009.500896       	BEST SCORE: 34   	BEST RATIO: 0.059964726631393295     TOO_OLD: 234     	WON: 0    	
GEN: 94    AVG FITNESS: 52034371.10309809        	AVG SCORE: 5.272     	AVG RATIO: 0.04560356385969465      	BEST FITNESS: 17180660540.114456       	BEST SCORE: 34   	BEST RATIO: 0.07640449438202247      TOO_OLD: 250     	WON: 0    	
GEN: 95    AVG FITNESS: 43949112.98308223        	AVG SCORE: 5.209     	AVG RATIO: 0.04707806879597997      	BEST FITNESS: 17180646744.517323       	BEST SCORE: 34   	BEST RATIO: 0.0576271186440678       TOO_OLD: 209     	WON: 0    	
GEN: 96    AVG FITNESS: 81800732.58494078        	AVG SCORE: 5.243     	AVG RATIO: 0.045956961914362104     	BEST FITNESS: 68720358171.57797        	BEST SCORE: 36   	BEST RATIO: 0.0632688927943761       TOO_OLD: 238     	WON: 0    	
GEN: 97    AVG FITNESS: 138518350.36962762       	AVG SCORE: 6.278     	AVG RATIO: 0.04815377299154739      	BEST FITNESS: 34360569898.94273        	BEST SCORE: 35   	BEST RATIO: 0.06352087114337568      TOO_OLD: 222     	WON: 0    	
GEN: 98    AVG FITNESS: 40896996.27474906        	AVG SCORE: 5.534     	AVG RATIO: 0.04723737334938072      	BEST FITNESS: 17180649498.252995       	BEST SCORE: 34   	BEST RATIO: 0.060498220640569395     TOO_OLD: 202     	WON: 0    	
GEN: 99    AVG FITNESS: 54183068.50936833        	AVG SCORE: 5.121     	AVG RATIO: 0.04472254729009834      	BEST FITNESS: 17180645950.349392       	BEST SCORE: 34   	BEST RATIO: 0.056856187290969896     TOO_OLD: 237     	WON: 0    	
GEN: 100   AVG FITNESS: 62459922.081415676       	AVG SCORE: 5.027     	AVG RATIO: 0.04596492511383794      	BEST FITNESS: 34360563771.5091         	BEST SCORE: 35   	BEST RATIO: 0.057283142389525366     TOO_OLD: 208     	WON: 0    	
GEN: 101   AVG FITNESS: 911865528.7789208        	AVG SCORE: 5.224     	AVG RATIO: 0.041908673747713635     	BEST FITNESS: 549756850566.8716        	BEST SCORE: 39   	BEST RATIO: 0.0598159509202454       TOO_OLD: 295     	WON: 0    	
GEN: 102   AVG FITNESS: 123034772.42700873       	AVG SCORE: 6.722     	AVG RATIO: 0.04796495033679644      	BEST FITNESS: 17180661265.71624        	BEST SCORE: 34   	BEST RATIO: 0.07780320366132723      TOO_OLD: 195     	WON: 0    	
GEN: 103   AVG FITNESS: 412956569.4638462        	AVG SCORE: 6.205     	AVG RATIO: 0.046157851670014134     	BEST FITNESS: 274878878104.33234       	BEST SCORE: 38   	BEST RATIO: 0.05212620027434842      TOO_OLD: 242     	WON: 0    	
GEN: 104   AVG FITNESS: 332858567.1936955        	AVG SCORE: 7.695     	AVG RATIO: 0.04992668336296277      	BEST FITNESS: 68720351880.7396         	BEST SCORE: 36   	BEST RATIO: 0.05732484076433121      TOO_OLD: 183     	WON: 0    	
GEN: 105   AVG FITNESS: 394126099.210639         	AVG SCORE: 7.153     	AVG RATIO: 0.04866880311349703      	BEST FITNESS: 137439872887.64737       	BEST SCORE: 37   	BEST RATIO: 0.05240793201133145      TOO_OLD: 210     	WON: 0    	
