GEN: 74    AVG FITNESS: 359468767463.43756       	AVG SCORE: 6.497     	AVG RATIO: 0.04470177031945562      	BEST FITNESS: 281474978297168.75       	BEST SCORE: 48   	BEST RATIO: 0.05627198124267292      TOO_OLD: 161     	WON: 0    	
GEN: 75    AVG FITNESS: 42571949664.36257        	AVG SCORE: 5.709     	AVG RATIO: 0.04610278441759803      	BEST FITNESS: 17592187365347.082       	BEST SCORE: 44   	BEST RATIO: 0.054455445544554455     TOO_OLD: 148     	WON: 0    	
GEN: 76    AVG FITNESS: 184311638386.6682        	AVG SCORE: 6.68      	AVG RATIO: 0.044716971027687034     	BEST FITNESS: 140737489859791.78       	BEST SCORE: 47   	BEST RATIO: 0.0509761388286334       TOO_OLD: 173     	WON: 0    	
GEN: 77    AVG FITNESS: 164515933482.39005       	AVG SCORE: 6.178     	AVG RATIO: 0.0466172675550458       	BEST FITNESS: 140737489877254.4        	BEST SCORE: 47   	BEST RATIO: 0.05759803921568627      TOO_OLD: 97      	WON: 0    	
GEN: 78    AVG FITNESS: 453218751961.1308        	AVG SCORE: 5.8       	AVG RATIO: 0.045149186925418215     	BEST FITNESS: 281474978290228.94       	BEST SCORE: 48   	BEST RATIO: 0.053691275167785234     TOO_OLD: 181     	WON: 0    	
GEN: 79    AVG FITNESS: 8539833691.776435        	AVG SCORE: 6.283     	AVG RATIO: 0.04599089405185413      	BEST FITNESS: 2199024386249.3325       	BEST SCORE: 41   	BEST RATIO: 0.04939759036144578      TOO_OLD: 120     	WON: 0    	
GEN: 80    AVG FITNESS: 32009953110.73097        	AVG SCORE: 5.835     	AVG RATIO: 0.046326804442927125     	BEST FITNESS: 8796094256308.479        	BEST SCORE: 43   	BEST RATIO: 0.044745057232049947     TOO_OLD: 135     	WON: 0    	
GEN: 81    AVG FITNESS: 79771779539.28084        	AVG SCORE: 5.519     	AVG RATIO: 0.04495324666862151      	BEST FITNESS: 70368745618862.22        	BEST SCORE: 46   	BEST RATIO: 0.05174353205849269      TOO_OLD: 138     	WON: 0    	
GEN: 82    AVG FITNESS: 47737257311.09183        	AVG SCORE: 6.22      	AVG RATIO: 0.04579084919203445      	BEST FITNESS: 35184373451309.805       	BEST SCORE: 45   	BEST RATIO: 0.04677754677754678      TOO_OLD: 133     	WON: 0    	
GEN: 83    AVG FITNESS: 156737013148.09915       	AVG SCORE: 5.807     	AVG RATIO: 0.046063904048737156     	BEST FITNESS: 35184373470279.375       	BEST SCORE: 45   	BEST RATIO: 0.05344418052256532      TOO_OLD: 110     	WON: 0    	
GEN: 84    AVG FITNESS: 144148346515937.88       	AVG SCORE: 5.659     	AVG RATIO: 0.044554494421830834     	BEST FITNESS: 1.441151880780649e+17    	BEST SCORE: 57   	BEST RATIO: 0.04527402700555997      TOO_OLD: 137     	WON: 0    	
GEN: 85    AVG FITNESS: 1136429409628.9182       	AVG SCORE: 5.535     	AVG RATIO: 0.04450465952126334      	BEST FITNESS: 1125899908564361.8       	BEST SCORE: 50   	BEST RATIO: 0.0546448087431694       TOO_OLD: 151     	WON: 0    	
GEN: 86    AVG FITNESS: 2297436373406.5176       	AVG SCORE: 5.369     	AVG RATIO: 0.045957235546881685     	BEST FITNESS: 2251799815475157.5       	BEST SCORE: 51   	BEST RATIO: 0.05345911949685535      TOO_OLD: 127     	WON: 0    	
GEN: 87    AVG FITNESS: 10167076223.149546       	AVG SCORE: 5.832     	AVG RATIO: 0.0468625702094834       	BEST FITNESS: 2199024401091.789        	BEST SCORE: 41   	BEST RATIO: 0.05694444444444444      TOO_OLD: 123     	WON: 0    	
GEN: 88    AVG FITNESS: 331288489807.1498        	AVG SCORE: 4.819     	AVG RATIO: 0.0467859535344317       	BEST FITNESS: 281474978289717.3        	BEST SCORE: 48   	BEST RATIO: 0.05351170568561873      TOO_OLD: 104     	WON: 0    	
GEN: 89    AVG FITNESS: 18936912780.695553       	AVG SCORE: 5.112     	AVG RATIO: 0.04659217266082138      	BEST FITNESS: 17592187345388.395       	BEST SCORE: 44   	BEST RATIO: 0.046858359957401494     TOO_OLD: 118     	WON: 0    	
GEN: 90    AVG FITNESS: 582607055516.4448        	AVG SCORE: 5.182     	AVG RATIO: 0.045650354578690044     	BEST FITNESS: 562949955067209.2        	BEST SCORE: 49   	BEST RATIO: 0.05285868392664509      TOO_OLD: 139     	WON: 0    	
GEN: 91    AVG FITNESS: 1311069494589.4963       	AVG SCORE: 5.623     	AVG RATIO: 0.04452556478497391      	BEST FITNESS: 1125899908559289.5       	BEST SCORE: 50   	BEST RATIO: 0.053022269353128315     TOO_OLD: 155     	WON: 0    	
GEN: 92    AVG FITNESS: 26570137176.920704       	AVG SCORE: 5.885     	AVG RATIO: 0.04661718459137681      	BEST FITNESS: 8796094268058.555        	BEST SCORE: 43   	BEST RATIO: 0.04869762174405436      TOO_OLD: 105     	WON: 0    	
GEN: 93    AVG FITNESS: 13943473638.894617       	AVG SCORE: 5.294     	AVG RATIO: 0.044733239822216206     	BEST FITNESS: 4398047713077.554        	BEST SCORE: 42   	BEST RATIO: 0.05570291777188329      TOO_OLD: 157     	WON: 0    	
GEN: 94    AVG FITNESS: 9600146280.83283         	AVG SCORE: 5.244     	AVG RATIO: 0.04450706137968495      	BEST FITNESS: 4398047710310.663        	BEST SCORE: 42   	BEST RATIO: 0.05426356589147287      TOO_OLD: 137     	WON: 0    	
GEN: 95    AVG FITNESS: 194599117969.15878       	AVG SCORE: 4.846     	AVG RATIO: 0.0425404907167625       	BEST FITNESS: 140737489861800.62       	BEST SCORE: 47   	BEST RATIO: 0.051648351648351645     TOO_OLD: 169     	WON: 0    	
