GEN: 111   AVG FITNESS: 61548.01281112078        	AVG SCORE: 5.442     	AVG RATIO: 0.04376286670097787      	BEST SCORE: 29   	BEST RATIO: 0.0625                   TOO_OLD: 130     	WON: 0    	
GEN: 112   AVG FITNESS: 67696.00794217073        	AVG SCORE: 6.038     	AVG RATIO: 0.04397893556117209      	BEST SCORE: 27   	BEST RATIO: 0.05555555555555555      TOO_OLD: 152     	WON: 0    	
GEN: 113   AVG FITNESS: 68906.24628205631        	AVG SCORE: 6.16      	AVG RATIO: 0.0438393600592116       	BEST SCORE: 29   	BEST RATIO: 0.05025996533795494      TOO_OLD: 153     	WON: 0    	
GEN: 114   AVG FITNESS: 64141.35044065122        	AVG SCORE: 5.69      	AVG RATIO: 0.044002443720951814     	BEST SCORE: 27   	BEST RATIO: 0.05                     TOO_OLD: 128     	WON: 0    	
GEN: 115   AVG FITNESS: 67262.76146338682        	AVG SCORE: 5.994     	AVG RATIO: 0.044092657844211826     	BEST SCORE: 27   	BEST RATIO: 0.05242718446601942      TOO_OLD: 145     	WON: 0    	
GEN: 116   AVG FITNESS: 71332.3441587705         	AVG SCORE: 6.391     	AVG RATIO: 0.04520409390229239      	BEST SCORE: 29   	BEST RATIO: 0.04461538461538461      TOO_OLD: 123     	WON: 0    	
GEN: 117   AVG FITNESS: 67738.12190570601        	AVG SCORE: 6.04      	AVG RATIO: 0.045298754284257184     	BEST SCORE: 27   	BEST RATIO: 0.05844155844155844      TOO_OLD: 125     	WON: 0    	
GEN: 118   AVG FITNESS: 71357.1563510743         	AVG SCORE: 6.391     	AVG RATIO: 0.04572642845899575      	BEST SCORE: 29   	BEST RATIO: 0.04434250764525994      TOO_OLD: 124     	WON: 0    	
GEN: 119   AVG FITNESS: 76029.74265096293        	AVG SCORE: 6.853     	AVG RATIO: 0.04505025670692024      	BEST SCORE: 30   	BEST RATIO: 0.05253940455341506      TOO_OLD: 139     	WON: 0    	
GEN: 120   AVG FITNESS: 78501.85880897965        	AVG SCORE: 7.093     	AVG RATIO: 0.04652978220939386      	BEST SCORE: 30   	BEST RATIO: 0.05905511811023622      TOO_OLD: 128     	WON: 0    	
GEN: 121   AVG FITNESS: 77921.37913869794        	AVG SCORE: 7.035     	AVG RATIO: 0.044811771450410855     	BEST SCORE: 28   	BEST RATIO: 0.05008944543828265      TOO_OLD: 162     	WON: 0    	
GEN: 122   AVG FITNESS: 80594.60425987713        	AVG SCORE: 7.296     	AVG RATIO: 0.04599788167650174      	BEST SCORE: 30   	BEST RATIO: 0.058823529411764705     TOO_OLD: 143     	WON: 0    	
GEN: 123   AVG FITNESS: 76467.68382023636        	AVG SCORE: 6.904     	AVG RATIO: 0.04512595265173797      	BEST SCORE: 30   	BEST RATIO: 0.043041606886657105     TOO_OLD: 141     	WON: 0    	
GEN: 124   AVG FITNESS: 81624.81935301598        	AVG SCORE: 7.398     	AVG RATIO: 0.045514950166112955     	BEST SCORE: 30   	BEST RATIO: 0.06302521008403361      TOO_OLD: 155     	WON: 0    	
GEN: 125   AVG FITNESS: 79099.51755826328        	AVG SCORE: 7.153     	AVG RATIO: 0.04568271809937412      	BEST SCORE: 34   	BEST RATIO: 0.06601941747572816      TOO_OLD: 146     	WON: 0    	
