GEN: 108   AVG FITNESS: 4185955892.4793863       	AVG SCORE: 4.496     	AVG RATIO: 0.024926401694285668     	BEST SCORE: 59   	BEST RATIO: 0.033202025886325266     TOO_OLD: 221     	WON: 0    	
GEN: 109   AVG FITNESS: 8812858113.767609        	AVG SCORE: 3.907     	AVG RATIO: 0.024402278462038123     	BEST SCORE: 71   	BEST RATIO: 0.02820818434644418      TOO_OLD: 237     	WON: 0    	
GEN: 110   AVG FITNESS: 3494633795.687465        	AVG SCORE: 3.892     	AVG RATIO: 0.02319994754379795      	BEST SCORE: 54   	BEST RATIO: 0.027579162410623085     TOO_OLD: 266     	WON: 0    	
GEN: 111   AVG FITNESS: 3560481840.79507         	AVG SCORE: 4.056     	AVG RATIO: 0.02411357637154883      	BEST SCORE: 50   	BEST RATIO: 0.030395136778115502     TOO_OLD: 241     	WON: 0    	
GEN: 112   AVG FITNESS: 4666894005.904828        	AVG SCORE: 4.058     	AVG RATIO: 0.02301693088681546      	BEST SCORE: 43   	BEST RATIO: 0.021224086870681145     TOO_OLD: 263     	WON: 0    	
GEN: 113   AVG FITNESS: 6303523168.14871         	AVG SCORE: 4.207     	AVG RATIO: 0.022798708055146104     	BEST SCORE: 58   	BEST RATIO: 0.028712871287128714     TOO_OLD: 273     	WON: 0    	
GEN: 114   AVG FITNESS: 8170985605.170212        	AVG SCORE: 4.26      	AVG RATIO: 0.022868922422817385     	BEST SCORE: 62   	BEST RATIO: 0.03064755313890262      TOO_OLD: 269     	WON: 0    	
GEN: 115   AVG FITNESS: 8248670285.685752        	AVG SCORE: 4.222     	AVG RATIO: 0.02247980704211104      	BEST SCORE: 65   	BEST RATIO: 0.029121863799283155     TOO_OLD: 275     	WON: 0    	
GEN: 116   AVG FITNESS: 4931564613.578917        	AVG SCORE: 4.109     	AVG RATIO: 0.02203701618050081      	BEST SCORE: 55   	BEST RATIO: 0.030170049369171694     TOO_OLD: 292     	WON: 0    	
GEN: 117   AVG FITNESS: 6635539533.261322        	AVG SCORE: 4.196     	AVG RATIO: 0.022076309531325628     	BEST SCORE: 65   	BEST RATIO: 0.029802842732691424     TOO_OLD: 313     	WON: 0    	
