GEN: 79    AVG FITNESS: 6256757236.611164     	AVG SCORE: 6.463636363636364     	AVG RATIO: 0.04032186334282011   	BEST FITNESS: 2199024397641.581     	BEST SCORE: 41   	BEST RATIO: 0.054959785522788206  WON: 0    	WON AVG RATIO: 0                     	
GEN: 80    AVG FITNESS: 100102124917.22707    	AVG SCORE: 8.059090909090909     	AVG RATIO: 0.04401486968503023   	BEST FITNESS: 70368745620798.02     	BEST SCORE: 46   	BEST RATIO: 0.052451539338654506  WON: 0    	WON AVG RATIO: 0                     	
GEN: 81    AVG FITNESS: 78741943196.64629     	AVG SCORE: 8.257272727272728     	AVG RATIO: 0.04503599189903692   	BEST FITNESS: 35184373454523.805    	BEST SCORE: 45   	BEST RATIO: 0.04777070063694268   WON: 0    	WON AVG RATIO: 0                     	
GEN: 82    AVG FITNESS: 17769231129.906815    	AVG SCORE: 7.172727272727273     	AVG RATIO: 0.04162373827102169   	BEST FITNESS: 4398047707801.906     	BEST SCORE: 42   	BEST RATIO: 0.05303030303030303   WON: 0    	WON AVG RATIO: 0                     	
GEN: 83    AVG FITNESS: 22258921075.404125    	AVG SCORE: 7.567272727272727     	AVG RATIO: 0.042104374329550935  	BEST FITNESS: 8796094285381.469     	BEST SCORE: 43   	BEST RATIO: 0.056282722513089     WON: 0    	WON AVG RATIO: 0                     	
GEN: 84    AVG FITNESS: 243591138900.2337     	AVG SCORE: 7.192727272727272     	AVG RATIO: 0.04499052579540622   	BEST FITNESS: 140737489876607.28    	BEST SCORE: 47   	BEST RATIO: 0.05731707317073171   WON: 0    	WON AVG RATIO: 0                     	
GEN: 85    AVG FITNESS: 171605534113.18042    	AVG SCORE: 7.582727272727273     	AVG RATIO: 0.04211507712257544   	BEST FITNESS: 140737489861800.62    	BEST SCORE: 47   	BEST RATIO: 0.051648351648351645  WON: 0    	WON AVG RATIO: 0                     	
GEN: 86    AVG FITNESS: 49485384982.47067     	AVG SCORE: 8.263636363636364     	AVG RATIO: 0.042487710135987594  	BEST FITNESS: 35184373468728.086    	BEST SCORE: 45   	BEST RATIO: 0.0528169014084507    WON: 0    	WON AVG RATIO: 0                     	
GEN: 87    AVG FITNESS: 557817015178.8043     	AVG SCORE: 7.0209090909090905    	AVG RATIO: 0.04181546497197769   	BEST FITNESS: 281474978282154.6     	BEST SCORE: 48   	BEST RATIO: 0.05100956429330499   WON: 0    	WON AVG RATIO: 0                     	
GEN: 88    AVG FITNESS: 34339253084.331337    	AVG SCORE: 7.191818181818181     	AVG RATIO: 0.04322225669471234   	BEST FITNESS: 17592187370962.438    	BEST SCORE: 44   	BEST RATIO: 0.05714285714285714   WON: 0    	WON AVG RATIO: 0                     	
GEN: 89    AVG FITNESS: 28556773608.88678     	AVG SCORE: 8.012727272727274     	AVG RATIO: 0.04514722451413466   	BEST FITNESS: 17592187367869.305    	BEST SCORE: 44   	BEST RATIO: 0.05562579013906448   WON: 0    	WON AVG RATIO: 0                     	
GEN: 90    AVG FITNESS: 6844863868.445371     	AVG SCORE: 7.684545454545455     	AVG RATIO: 0.04653431515601954   	BEST FITNESS: 1099512715426.4636    	BEST SCORE: 40   	BEST RATIO: 0.05649717514124294   WON: 0    	WON AVG RATIO: 0                     	
GEN: 91    AVG FITNESS: 10559989517.433521    	AVG SCORE: 7.7                   	AVG RATIO: 0.04719388871425138   	BEST FITNESS: 4398047680314.821     	BEST SCORE: 42   	BEST RATIO: 0.04276985743380855   WON: 0    	WON AVG RATIO: 0                     	
GEN: 92    AVG FITNESS: 300636860274.255      	AVG SCORE: 8.33909090909091      	AVG RATIO: 0.045939074538333485  	BEST FITNESS: 281474978276761.6     	BEST SCORE: 48   	BEST RATIO: 0.04938271604938271   WON: 0    	WON AVG RATIO: 0                     	
GEN: 93    AVG FITNESS: 2567006906653.6343    	AVG SCORE: 11.618181818181819    	AVG RATIO: 0.04916599164223877   	BEST FITNESS: 2251799815486271.0    	BEST SCORE: 51   	BEST RATIO: 0.05704697986577181   WON: 0    	WON AVG RATIO: 0                     	
GEN: 94    AVG FITNESS: 773228766744.8533     	AVG SCORE: 12.55                 	AVG RATIO: 0.05210350378543954   	BEST FITNESS: 281474978294303.2     	BEST SCORE: 48   	BEST RATIO: 0.05517241379310345   WON: 0    	WON AVG RATIO: 0                     	
GEN: 95    AVG FITNESS: 549145984111.639      	AVG SCORE: 12.542727272727273    	AVG RATIO: 0.05137107729307275   	BEST FITNESS: 281474978297000.7     	BEST SCORE: 48   	BEST RATIO: 0.05620608899297424   WON: 0    	WON AVG RATIO: 0                     	
GEN: 96    AVG FITNESS: 248706821498.1902     	AVG SCORE: 12.94                 	AVG RATIO: 0.05184812024665941   	BEST FITNESS: 70368745617243.02     	BEST SCORE: 46   	BEST RATIO: 0.05116796440489433   WON: 0    	WON AVG RATIO: 0                     	
GEN: 97    AVG FITNESS: 411273109805.0648     	AVG SCORE: 10.523636363636363    	AVG RATIO: 0.04883331719998711   	BEST FITNESS: 281474978293965.0     	BEST SCORE: 48   	BEST RATIO: 0.05504587155963303   WON: 0    	WON AVG RATIO: 0                     	
GEN: 98    AVG FITNESS: 95424665315.99284     	AVG SCORE: 11.616363636363637    	AVG RATIO: 0.0469740580382064    	BEST FITNESS: 17592187371987.867    	BEST SCORE: 44   	BEST RATIO: 0.057667103538663174  WON: 0    	WON AVG RATIO: 0                     	
GEN: 99    AVG FITNESS: 351593644805.75006    	AVG SCORE: 10.524545454545455    	AVG RATIO: 0.04809855703116326   	BEST FITNESS: 281474978257573.06    	BEST SCORE: 48   	BEST RATIO: 0.044444444444444446  WON: 0    	WON AVG RATIO: 0                     	
GEN: 100   AVG FITNESS: 670728462622.7957     	AVG SCORE: 11.994545454545454    	AVG RATIO: 0.0454107599554146    	BEST FITNESS: 140737489851848.34    	BEST SCORE: 47   	BEST RATIO: 0.048503611971104234  WON: 0    	WON AVG RATIO: 0                     	
GEN: 101   AVG FITNESS: 67834539265167.27     	AVG SCORE: 11.973636363636365    	AVG RATIO: 0.04506497804655457   	BEST FITNESS: 7.205759404006782e+16 	BEST SCORE: 56   	BEST RATIO: 0.04694048616932104   WON: 0    	WON AVG RATIO: 0                     	
GEN: 102   AVG FITNESS: 42232986407687.44     	AVG SCORE: 14.787272727272727    	AVG RATIO: 0.04414453458398169   	BEST FITNESS: 1.8014398511450708e+16	BEST SCORE: 54   	BEST RATIO: 0.043973941368078175  WON: 0    	WON AVG RATIO: 0                     	
