GEN: 85    AVG FITNESS: 14105.952269952228       	AVG SCORE: 0.815     	AVG RATIO: 0.056354584428156544     	BEST SCORE: 11   	BEST RATIO: 0.07586206896551724      TOO_OLD: 16      	WON: 0    	
GEN: 86    AVG FITNESS: 14668.436396936359       	AVG SCORE: 0.868     	AVG RATIO: 0.059253191344119056     	BEST SCORE: 11   	BEST RATIO: 0.08943089430894309      TOO_OLD: 11      	WON: 0    	
GEN: 87    AVG FITNESS: 15636.936396936337       	AVG SCORE: 0.956     	AVG RATIO: 0.0586647029945999       	BEST SCORE: 11   	BEST RATIO: 0.12790697674418605      TOO_OLD: 21      	WON: 0    	
GEN: 88    AVG FITNESS: 15500.567460317405       	AVG SCORE: 0.945     	AVG RATIO: 0.06060411723209132      	BEST SCORE: 13   	BEST RATIO: 0.08666666666666667      TOO_OLD: 12      	WON: 0    	
GEN: 89    AVG FITNESS: 15620.826909201864       	AVG SCORE: 0.958     	AVG RATIO: 0.06046834564160828      	BEST SCORE: 14   	BEST RATIO: 0.10852713178294573      TOO_OLD: 11      	WON: 0    	
GEN: 90    AVG FITNESS: 17003.511682761633       	AVG SCORE: 1.086     	AVG RATIO: 0.06408213843158082      	BEST SCORE: 11   	BEST RATIO: 0.13253012048192772      TOO_OLD: 6       	WON: 0    	
GEN: 91    AVG FITNESS: 17331.52755577752        	AVG SCORE: 1.117     	AVG RATIO: 0.06570201752838067      	BEST SCORE: 11   	BEST RATIO: 0.10679611650485436      TOO_OLD: 9       	WON: 0    	
GEN: 92    AVG FITNESS: 19417.422799422777       	AVG SCORE: 1.312     	AVG RATIO: 0.061866364879520915     	BEST SCORE: 12   	BEST RATIO: 0.1188118811881188       TOO_OLD: 21      	WON: 0    	
GEN: 93    AVG FITNESS: 20777.00246098931        	AVG SCORE: 1.445     	AVG RATIO: 0.06300963676797629      	BEST SCORE: 17   	BEST RATIO: 0.06640625               TOO_OLD: 23      	WON: 0    	
GEN: 94    AVG FITNESS: 21925.835317460344       	AVG SCORE: 1.549     	AVG RATIO: 0.06359568091308453      	BEST SCORE: 14   	BEST RATIO: 0.07865168539325842      TOO_OLD: 27      	WON: 0    	
GEN: 95    AVG FITNESS: 22973.657962952126       	AVG SCORE: 1.647     	AVG RATIO: 0.06128828191865441      	BEST SCORE: 15   	BEST RATIO: 0.08620689655172414      TOO_OLD: 31      	WON: 0    	
GEN: 96    AVG FITNESS: 24616.292522836695       	AVG SCORE: 1.807     	AVG RATIO: 0.059027210662137        	BEST SCORE: 20   	BEST RATIO: 0.06472491909385113      TOO_OLD: 49      	WON: 0    	
GEN: 97    AVG FITNESS: 24872.275924239217       	AVG SCORE: 1.832     	AVG RATIO: 0.05962765264939461      	BEST SCORE: 15   	BEST RATIO: 0.07537688442211055      TOO_OLD: 44      	WON: 0    	
GEN: 98    AVG FITNESS: 27280.63686824876        	AVG SCORE: 2.059     	AVG RATIO: 0.062226117440841375     	BEST SCORE: 17   	BEST RATIO: 0.1                      TOO_OLD: 48      	WON: 0    	
GEN: 99    AVG FITNESS: 27193.39244252488        	AVG SCORE: 2.052     	AVG RATIO: 0.06109506654360317      	BEST SCORE: 18   	BEST RATIO: 0.09278350515463918      TOO_OLD: 44      	WON: 0    	
GEN: 100   AVG FITNESS: 27776.288921046314       	AVG SCORE: 2.105     	AVG RATIO: 0.06070656092285509      	BEST SCORE: 18   	BEST RATIO: 0.055900621118012424     TOO_OLD: 54      	WON: 0    	
GEN: 101   AVG FITNESS: 27624.211803117836       	AVG SCORE: 2.093     	AVG RATIO: 0.06086779503286221      	BEST SCORE: 19   	BEST RATIO: 0.07723577235772358      TOO_OLD: 52      	WON: 0    	
GEN: 102   AVG FITNESS: 28025.98574159763        	AVG SCORE: 2.13      	AVG RATIO: 0.05902238971403236      	BEST SCORE: 18   	BEST RATIO: 0.05921052631578947      TOO_OLD: 60      	WON: 0    	
GEN: 103   AVG FITNESS: 29399.400392306416       	AVG SCORE: 2.265     	AVG RATIO: 0.05986995136392472      	BEST SCORE: 20   	BEST RATIO: 0.07751937984496124      TOO_OLD: 62      	WON: 0    	
GEN: 104   AVG FITNESS: 30894.00610766949        	AVG SCORE: 2.41      	AVG RATIO: 0.05739188416841304      	BEST SCORE: 17   	BEST RATIO: 0.07391304347826087      TOO_OLD: 85      	WON: 0    	
GEN: 105   AVG FITNESS: 31145.30124820145        	AVG SCORE: 2.432     	AVG RATIO: 0.05656866393747674      	BEST SCORE: 22   	BEST RATIO: 0.07236842105263158      TOO_OLD: 86      	WON: 0    	
GEN: 106   AVG FITNESS: 29825.929388035504       	AVG SCORE: 2.303     	AVG RATIO: 0.05463171628513818      	BEST SCORE: 19   	BEST RATIO: 0.060126582278481014     TOO_OLD: 93      	WON: 0    	
GEN: 107   AVG FITNESS: 32489.415177688585       	AVG SCORE: 2.562     	AVG RATIO: 0.05975649577832719      	BEST SCORE: 22   	BEST RATIO: 0.06027397260273973      TOO_OLD: 60      	WON: 0    	
GEN: 108   AVG FITNESS: 33780.451144057246       	AVG SCORE: 2.687     	AVG RATIO: 0.05769561109679635      	BEST SCORE: 18   	BEST RATIO: 0.08071748878923767      TOO_OLD: 83      	WON: 0    	
GEN: 109   AVG FITNESS: 34220.55880920773        	AVG SCORE: 2.73      	AVG RATIO: 0.05834829443447038      	BEST SCORE: 23   	BEST RATIO: 0.05542168674698795      TOO_OLD: 76      	WON: 0    	
GEN: 110   AVG FITNESS: 36210.11211526691        	AVG SCORE: 2.922     	AVG RATIO: 0.05866645250667577      	BEST SCORE: 24   	BEST RATIO: 0.056338028169014086     TOO_OLD: 88      	WON: 0    	
GEN: 111   AVG FITNESS: 36789.185685384466       	AVG SCORE: 2.983     	AVG RATIO: 0.056748787215828024     	BEST SCORE: 23   	BEST RATIO: 0.06284153005464481      TOO_OLD: 96      	WON: 0    	
GEN: 112   AVG FITNESS: 35806.71317326468        	AVG SCORE: 2.883     	AVG RATIO: 0.056249268349787336     	BEST SCORE: 19   	BEST RATIO: 0.05993690851735016      TOO_OLD: 91      	WON: 0    	
GEN: 113   AVG FITNESS: 34466.61091707576        	AVG SCORE: 2.753     	AVG RATIO: 0.05681442958560343      	BEST SCORE: 19   	BEST RATIO: 0.08260869565217391      TOO_OLD: 91      	WON: 0    	
