GEN: 65    AVG FITNESS: 578.8705299999992        	AVG SCORE: 3.738     	AVG RATIO: 0.04727516472954002      	BEST SCORE: 26   	BEST RATIO: 0.04735883424408015      TOO_OLD: 176     	WON: 0    	
GEN: 66    AVG FITNESS: 575.1295300000002        	AVG SCORE: 3.611     	AVG RATIO: 0.04566550742965539      	BEST SCORE: 23   	BEST RATIO: 0.039723661485319514     TOO_OLD: 173     	WON: 0    	
GEN: 67    AVG FITNESS: 567.7633099999991        	AVG SCORE: 3.61      	AVG RATIO: 0.04620326878527639      	BEST SCORE: 22   	BEST RATIO: 0.038128249566724434     TOO_OLD: 169     	WON: 0    	
GEN: 68    AVG FITNESS: 621.0007399999998        	AVG SCORE: 3.914     	AVG RATIO: 0.047076086695051846     	BEST SCORE: 27   	BEST RATIO: 0.05103969754253308      TOO_OLD: 170     	WON: 0    	
GEN: 69    AVG FITNESS: 659.7112099999997        	AVG SCORE: 4.076     	AVG RATIO: 0.046113292077247674     	BEST SCORE: 24   	BEST RATIO: 0.0411663807890223       TOO_OLD: 184     	WON: 0    	
GEN: 70    AVG FITNESS: 649.7710500000003        	AVG SCORE: 4.084     	AVG RATIO: 0.04730410609833787      	BEST SCORE: 25   	BEST RATIO: 0.04604051565377532      TOO_OLD: 169     	WON: 0    	
GEN: 71    AVG FITNESS: 655.9701900000009        	AVG SCORE: 4.1       	AVG RATIO: 0.047924629753012815     	BEST SCORE: 23   	BEST RATIO: 0.04204753199268738      TOO_OLD: 165     	WON: 0    	
GEN: 72    AVG FITNESS: 706.4163099999994        	AVG SCORE: 4.348     	AVG RATIO: 0.046293240207403934     	BEST SCORE: 23   	BEST RATIO: 0.03986135181975736      TOO_OLD: 189     	WON: 0    	
GEN: 73    AVG FITNESS: 635.9671899999993        	AVG SCORE: 3.928     	AVG RATIO: 0.04634644201385202      	BEST SCORE: 23   	BEST RATIO: 0.0391156462585034       TOO_OLD: 139     	WON: 0    	
GEN: 74    AVG FITNESS: 639.8905799999998        	AVG SCORE: 3.915     	AVG RATIO: 0.04552960878262083      	BEST SCORE: 26   	BEST RATIO: 0.04701627486437613      TOO_OLD: 160     	WON: 0    	
GEN: 75    AVG FITNESS: 615.0905599999998        	AVG SCORE: 3.698     	AVG RATIO: 0.042698134121559206     	BEST SCORE: 24   	BEST RATIO: 0.04332129963898917      TOO_OLD: 193     	WON: 0    	
