GEN: 89    BEST FITNESS: 28.91540130151844        	BEST SCORE: 31   	BEST RATIO: 0.07209302325581396      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 90    BEST FITNESS: 30.23448275862069        	BEST SCORE: 32   	BEST RATIO: 0.058394160583941604     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 91    BEST FITNESS: 27.92626728110599        	BEST SCORE: 30   	BEST RATIO: 0.07425742574257425      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 92    BEST FITNESS: 30.91778202676864        	BEST SCORE: 33   	BEST RATIO: 0.0673469387755102       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 93    BEST FITNESS: 28.03921568627451        	BEST SCORE: 30   	BEST RATIO: 0.06993006993006994      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 94    BEST FITNESS: 31.128865979381445       	BEST SCORE: 33   	BEST RATIO: 0.060109289617486336     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 95    BEST FITNESS: 28.52216748768473        	BEST SCORE: 30   	BEST RATIO: 0.05181347150259067      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 96    BEST FITNESS: 33.31267217630854        	BEST SCORE: 35   	BEST RATIO: 0.05065123010130246      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 97    BEST FITNESS: 35.14246947082768        	BEST SCORE: 37   	BEST RATIO: 0.05285714285714286      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 98    BEST FITNESS: 38.73755047106326        	BEST SCORE: 41   	BEST RATIO: 0.0584045584045584       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 99    BEST FITNESS: 32.37687366167024        	BEST SCORE: 35   	BEST RATIO: 0.08101851851851852      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 100   BEST FITNESS: 30.0                     	BEST SCORE: 33   	BEST RATIO: 0.1                      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 101   BEST FITNESS: 39.81683168316832        	BEST SCORE: 42   	BEST RATIO: 0.05483028720626632      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 102   BEST FITNESS: 37.171875                	BEST SCORE: 39   	BEST RATIO: 0.04918032786885246      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 103   BEST FITNESS: 37.62258543833581        	BEST SCORE: 40   	BEST RATIO: 0.0631911532385466       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 104   BEST FITNESS: 33.26487252124646        	BEST SCORE: 35   	BEST RATIO: 0.05216095380029806      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 105   BEST FITNESS: 32.948073701842546       	BEST SCORE: 35   	BEST RATIO: 0.06227758007117438      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 106   BEST FITNESS: 35.25826972010178        	BEST SCORE: 37   	BEST RATIO: 0.049399198931909215     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 107   BEST FITNESS: 40.94783573806881        	BEST SCORE: 43   	BEST RATIO: 0.05011655011655012      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 108   BEST FITNESS: 43.702497285559176       	BEST SCORE: 46   	BEST RATIO: 0.052571428571428575     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 109   BEST FITNESS: 43.47494033412888        	BEST SCORE: 46   	BEST RATIO: 0.05808080808080808      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 110   BEST FITNESS: 35.88579795021962        	BEST SCORE: 38   	BEST RATIO: 0.05891472868217054      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 111   BEST FITNESS: 35.79204892966361        	BEST SCORE: 38   	BEST RATIO: 0.06168831168831169      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 112   BEST FITNESS: 37.992471769134255       	BEST SCORE: 40   	BEST RATIO: 0.052840158520475564     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 113   BEST FITNESS: 34.01531393568147        	BEST SCORE: 36   	BEST RATIO: 0.05834683954619125      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 114   BEST FITNESS: 36.25392986698912        	BEST SCORE: 38   	BEST RATIO: 0.048162230671736375     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 115   BEST FITNESS: 38.906600249066          	BEST SCORE: 41   	BEST RATIO: 0.05380577427821522      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 116   BEST FITNESS: 35.17222963951936        	BEST SCORE: 37   	BEST RATIO: 0.05196629213483146      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 117   BEST FITNESS: 35.326405867970664       	BEST SCORE: 37   	BEST RATIO: 0.04737516005121639      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 118   BEST FITNESS: 35.67471819645733        	BEST SCORE: 38   	BEST RATIO: 0.06518010291595197      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 119   BEST FITNESS: 43.85177664974619        	BEST SCORE: 46   	BEST RATIO: 0.04898828541001065      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 120   BEST FITNESS: 38.3816199376947         	BEST SCORE: 41   	BEST RATIO: 0.06821963394342762      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 121   BEST FITNESS: 35.68218298555377        	BEST SCORE: 38   	BEST RATIO: 0.06495726495726496      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 122   BEST FITNESS: 35.26269035532995        	BEST SCORE: 37   	BEST RATIO: 0.0492676431424767       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 123   BEST FITNESS: 32.32706222865412        	BEST SCORE: 34   	BEST RATIO: 0.0517503805175038       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 124   BEST FITNESS: 34.241519674355494       	BEST SCORE: 36   	BEST RATIO: 0.05135520684736091      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 125   BEST FITNESS: 45.4485049833887         	BEST SCORE: 48   	BEST RATIO: 0.056140350877192984     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 126   BEST FITNESS: 34.14791666666667        	BEST SCORE: 37   	BEST RATIO: 0.0835214446952596       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 127   BEST FITNESS: 33.23994252873563        	BEST SCORE: 35   	BEST RATIO: 0.0529500756429652       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 128   BEST FITNESS: 37.27159090909091        	BEST SCORE: 39   	BEST RATIO: 0.04637336504161712      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 129   BEST FITNESS: 45.67037411526795        	BEST SCORE: 48   	BEST RATIO: 0.05100956429330499      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 130   BEST FITNESS: 36.45226130653266        	BEST SCORE: 39   	BEST RATIO: 0.06989247311827956      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 131   BEST FITNESS: 36.13677419354839        	BEST SCORE: 38   	BEST RATIO: 0.051560379918588875     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 132   BEST FITNESS: 37.9746835443038         	BEST SCORE: 40   	BEST RATIO: 0.05333333333333334      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 133   BEST FITNESS: 34.90992366412214        	BEST SCORE: 37   	BEST RATIO: 0.059870550161812294     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 134   BEST FITNESS: 35.670967741935485       	BEST SCORE: 38   	BEST RATIO: 0.06529209621993128      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 135   BEST FITNESS: 40.02684563758389        	BEST SCORE: 42   	BEST RATIO: 0.04929577464788732      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 136   BEST FITNESS: 38.811197916666664       	BEST SCORE: 41   	BEST RATIO: 0.05639614855570839      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 137   BEST FITNESS: 38.66203059805285        	BEST SCORE: 41   	BEST RATIO: 0.06047197640117994      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 138   BEST FITNESS: 40.04651162790697        	BEST SCORE: 42   	BEST RATIO: 0.04878048780487805      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 139   BEST FITNESS: 38.163030998851895       	BEST SCORE: 40   	BEST RATIO: 0.048134777376654635     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 140   BEST FITNESS: 37.145121951219515       	BEST SCORE: 39   	BEST RATIO: 0.0499359795134443       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 141   BEST FITNESS: 37.28908886389201        	BEST SCORE: 39   	BEST RATIO: 0.04588235294117647      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 142   BEST FITNESS: 36.627145085803434       	BEST SCORE: 39   	BEST RATIO: 0.06478405315614617      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 143   BEST FITNESS: 38.635724331926866       	BEST SCORE: 41   	BEST RATIO: 0.06119402985074627      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 144   BEST FITNESS: 38.00498753117207        	BEST SCORE: 40   	BEST RATIO: 0.05249343832020997      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 145   BEST FITNESS: 40.35100286532951        	BEST SCORE: 43   	BEST RATIO: 0.06564885496183206      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 146   BEST FITNESS: 40.347202295552364       	BEST SCORE: 43   	BEST RATIO: 0.06574923547400612      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 147   BEST FITNESS: 40.34521575984991        	BEST SCORE: 42   	BEST RATIO: 0.041015625              WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 148   BEST FITNESS: 39.51370468611848        	BEST SCORE: 41   	BEST RATIO: 0.03761467889908257      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 149   BEST FITNESS: 39.119686800894854       	BEST SCORE: 41   	BEST RATIO: 0.04806565064478312      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 150   BEST FITNESS: 38.82535575679172        	BEST SCORE: 41   	BEST RATIO: 0.056010928961748634     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
