GEN: 95    AVG FITNESS: 834852354.3205045        	AVG SCORE: 7.425     	AVG RATIO: 0.054520622379522266     	BEST SCORE: 37   	BEST RATIO: 0.06981132075471698      TOO_OLD: 106     	WON: 0    	
GEN: 96    AVG FITNESS: 18336222568.03616        	AVG SCORE: 7.313     	AVG RATIO: 0.049422848183391        	BEST SCORE: 44   	BEST RATIO: 0.04772234273318872      TOO_OLD: 207     	WON: 0    	
GEN: 97    AVG FITNESS: 3353071672.6575713       	AVG SCORE: 5.305     	AVG RATIO: 0.05055125163183823      	BEST SCORE: 41   	BEST RATIO: 0.047953216374269005     TOO_OLD: 65      	WON: 0    	
GEN: 98    AVG FITNESS: 1767095480.0495315       	AVG SCORE: 7.419     	AVG RATIO: 0.048350831915850385     	BEST SCORE: 39   	BEST RATIO: 0.05794947994056464      TOO_OLD: 204     	WON: 0    	
GEN: 99    AVG FITNESS: 869319948.8733498        	AVG SCORE: 7.28      	AVG RATIO: 0.04994854202401373      	BEST SCORE: 38   	BEST RATIO: 0.05547445255474453      TOO_OLD: 174     	WON: 0    	
GEN: 100   AVG FITNESS: 4147540729.977017        	AVG SCORE: 6.731     	AVG RATIO: 0.046559404570859386     	BEST SCORE: 41   	BEST RATIO: 0.05848787446504993      TOO_OLD: 194     	WON: 0    	
GEN: 101   AVG FITNESS: 1297604358.8315961       	AVG SCORE: 6.754     	AVG RATIO: 0.04640552963728932      	BEST SCORE: 38   	BEST RATIO: 0.06050955414012739      TOO_OLD: 213     	WON: 0    	
GEN: 102   AVG FITNESS: 11775104582.824852       	AVG SCORE: 7.36      	AVG RATIO: 0.04599195140850352      	BEST SCORE: 43   	BEST RATIO: 0.057180851063829786     TOO_OLD: 205     	WON: 0    	
GEN: 103   AVG FITNESS: 3097577787.9823194       	AVG SCORE: 6.3       	AVG RATIO: 0.04313502632605972      	BEST SCORE: 40   	BEST RATIO: 0.05194805194805195      TOO_OLD: 292     	WON: 0    	
GEN: 104   AVG FITNESS: 14517800262.171078       	AVG SCORE: 8.974     	AVG RATIO: 0.04752875876533271      	BEST SCORE: 42   	BEST RATIO: 0.05454545454545454      TOO_OLD: 216     	WON: 0    	
GEN: 105   AVG FITNESS: 9906166487.098993        	AVG SCORE: 8.006     	AVG RATIO: 0.04648786124482484      	BEST SCORE: 42   	BEST RATIO: 0.05084745762711865      TOO_OLD: 164     	WON: 0    	
GEN: 106   AVG FITNESS: 4266187302.8328233       	AVG SCORE: 8.855     	AVG RATIO: 0.0465981508085608       	BEST SCORE: 40   	BEST RATIO: 0.060790273556231005     TOO_OLD: 194     	WON: 0    	
GEN: 107   AVG FITNESS: 6151458104.92583         	AVG SCORE: 9.096     	AVG RATIO: 0.046113133320490336     	BEST SCORE: 41   	BEST RATIO: 0.04158215010141988      TOO_OLD: 224     	WON: 0    	
GEN: 108   AVG FITNESS: 6573164280.877602        	AVG SCORE: 8.596     	AVG RATIO: 0.045351904611163875     	BEST SCORE: 41   	BEST RATIO: 0.04812206572769953      TOO_OLD: 267     	WON: 0    	
GEN: 109   AVG FITNESS: 45923986247.648056       	AVG SCORE: 9.007     	AVG RATIO: 0.04526949598922418      	BEST SCORE: 44   	BEST RATIO: 0.05612244897959184      TOO_OLD: 234     	WON: 0    	
GEN: 110   AVG FITNESS: 33876240875.8184         	AVG SCORE: 8.488     	AVG RATIO: 0.045152778959911474     	BEST SCORE: 44   	BEST RATIO: 0.04856512141280353      TOO_OLD: 225     	WON: 0    	
GEN: 111   AVG FITNESS: 29125571534.20758        	AVG SCORE: 8.817     	AVG RATIO: 0.04679290543767846      	BEST SCORE: 44   	BEST RATIO: 0.05028571428571429      TOO_OLD: 177     	WON: 0    	
GEN: 112   AVG FITNESS: 28065690792.028675       	AVG SCORE: 9.185     	AVG RATIO: 0.045699245726113        	BEST SCORE: 44   	BEST RATIO: 0.046511627906976744     TOO_OLD: 203     	WON: 0    	
GEN: 113   AVG FITNESS: 291685219949.82104       	AVG SCORE: 8.545     	AVG RATIO: 0.04313173223497582      	BEST SCORE: 48   	BEST RATIO: 0.057074910820451845     TOO_OLD: 376     	WON: 0    	
GEN: 114   AVG FITNESS: 24709657820.07079        	AVG SCORE: 10.693    	AVG RATIO: 0.04616852613035819      	BEST SCORE: 43   	BEST RATIO: 0.05748663101604278      TOO_OLD: 258     	WON: 0    	
GEN: 115   AVG FITNESS: 12862179513.50903        	AVG SCORE: 10.092    	AVG RATIO: 0.04550599035951176      	BEST SCORE: 41   	BEST RATIO: 0.05510752688172043      TOO_OLD: 320     	WON: 0    	
GEN: 116   AVG FITNESS: 14400024157.884405       	AVG SCORE: 9.802     	AVG RATIO: 0.04692624029950067      	BEST SCORE: 43   	BEST RATIO: 0.0618705035971223       TOO_OLD: 269     	WON: 0    	
