GEN: 68    AVG FITNESS: 93356.5425821546         	AVG SCORE: 1.769     	AVG RATIO: 0.027762519813556395     	BEST FITNESS: 67541683.92289709        	BEST SCORE: 26   	BEST RATIO: 0.04113924050632911      TOO_OLD: 296     	WON: 0    	
GEN: 69    AVG FITNESS: 635771.6009425602        	AVG SCORE: 1.929     	AVG RATIO: 0.030683336514602023     	BEST FITNESS: 537427573.8268335        	BEST SCORE: 29   	BEST RATIO: 0.054613935969868174     TOO_OLD: 261     	WON: 0    	
GEN: 70    AVG FITNESS: 54846.09458174286        	AVG SCORE: 2.372     	AVG RATIO: 0.029807233154892053     	BEST FITNESS: 17156348.814109642       	BEST SCORE: 24   	BEST RATIO: 0.06282722513089005      TOO_OLD: 345     	WON: 0    	
GEN: 71    AVG FITNESS: 48211.882909306005       	AVG SCORE: 1.809     	AVG RATIO: 0.027564454196379592     	BEST FITNESS: 17150329.37129887        	BEST SCORE: 24   	BEST RATIO: 0.049586776859504134     TOO_OLD: 304     	WON: 0    	
GEN: 72    AVG FITNESS: 66019.82054085036        	AVG SCORE: 1.761     	AVG RATIO: 0.024406131330210384     	BEST FITNESS: 33962638.25418593        	BEST SCORE: 25   	BEST RATIO: 0.05307855626326964      TOO_OLD: 373     	WON: 0    	
GEN: 73    AVG FITNESS: 112481.34284149959       	AVG SCORE: 2.134     	AVG RATIO: 0.027166371749010224     	BEST FITNESS: 67545575.61747018        	BEST SCORE: 26   	BEST RATIO: 0.04498269896193772      TOO_OLD: 386     	WON: 0    	
GEN: 74    AVG FITNESS: 417420.8350650887        	AVG SCORE: 2.227     	AVG RATIO: 0.029252210006436272     	BEST FITNESS: 268933149.85431755       	BEST SCORE: 28   	BEST RATIO: 0.03679369250985545      TOO_OLD: 336     	WON: 0    	
GEN: 75    AVG FITNESS: 401953.8824278428        	AVG SCORE: 1.988     	AVG RATIO: 0.02759769556465607      	BEST FITNESS: 268949109.05092937       	BEST SCORE: 28   	BEST RATIO: 0.04964539007092199      TOO_OLD: 344     	WON: 0    	
GEN: 76    AVG FITNESS: 4110294.1138528218       	AVG SCORE: 2.613     	AVG RATIO: 0.03117729176361098      	BEST FITNESS: 2148113828.5087824       	BEST SCORE: 31   	BEST RATIO: 0.04633781763826607      TOO_OLD: 358     	WON: 0    	
GEN: 77    AVG FITNESS: 2488967.504293961        	AVG SCORE: 2.581     	AVG RATIO: 0.031249621638637655     	BEST FITNESS: 1074337243.4451904       	BEST SCORE: 30   	BEST RATIO: 0.05253940455341506      TOO_OLD: 334     	WON: 0    	
GEN: 78    AVG FITNESS: 4957678.490543096        	AVG SCORE: 2.502     	AVG RATIO: 0.032546764835965344     	BEST FITNESS: 2148112813.890729        	BEST SCORE: 31   	BEST RATIO: 0.045588235294117645     TOO_OLD: 289     	WON: 0    	
GEN: 79    AVG FITNESS: 4502097.4277932225       	AVG SCORE: 2.538     	AVG RATIO: 0.03467023659909295      	BEST FITNESS: 2148114746.5108805       	BEST SCORE: 31   	BEST RATIO: 0.04704097116843703      TOO_OLD: 254     	WON: 0    	
GEN: 80    AVG FITNESS: 9285292.150646027        	AVG SCORE: 2.826     	AVG RATIO: 0.031487465181058494     	BEST FITNESS: 4295652111.515325        	BEST SCORE: 32   	BEST RATIO: 0.05673758865248227      TOO_OLD: 368     	WON: 0    	
GEN: 81    AVG FITNESS: 38288965.89440978        	AVG SCORE: 2.684     	AVG RATIO: 0.03450093193649978      	BEST FITNESS: 34360564599.48345        	BEST SCORE: 35   	BEST RATIO: 0.05804311774461028      TOO_OLD: 278     	WON: 0    	
GEN: 82    AVG FITNESS: 29509666.640224285       	AVG SCORE: 3.308     	AVG RATIO: 0.03502790160844566      	BEST FITNESS: 8590652579.081657        	BEST SCORE: 33   	BEST RATIO: 0.046875                 TOO_OLD: 341     	WON: 0    	
GEN: 83    AVG FITNESS: 12085626.73749986        	AVG SCORE: 2.656     	AVG RATIO: 0.03193843193843194      	BEST FITNESS: 4295645545.281835        	BEST SCORE: 32   	BEST RATIO: 0.050393700787401574     TOO_OLD: 347     	WON: 0    	
GEN: 84    AVG FITNESS: 18903059.71973786        	AVG SCORE: 3.245     	AVG RATIO: 0.03412233567124786      	BEST FITNESS: 4295650835.597865        	BEST SCORE: 32   	BEST RATIO: 0.05536332179930796      TOO_OLD: 344     	WON: 0    	
GEN: 85    AVG FITNESS: 176083000.81604755       	AVG SCORE: 3.315     	AVG RATIO: 0.0340653355666766       	BEST FITNESS: 137439884439.98785       	BEST SCORE: 37   	BEST RATIO: 0.061258278145695365     TOO_OLD: 355     	WON: 0    	
GEN: 86    AVG FITNESS: 245544419.3652778        	AVG SCORE: 3.555     	AVG RATIO: 0.03382331953760525      	BEST FITNESS: 68720337279.19699        	BEST SCORE: 36   	BEST RATIO: 0.04743083003952569      TOO_OLD: 405     	WON: 0    	
GEN: 87    AVG FITNESS: 223099202.57711717       	AVG SCORE: 3.45      	AVG RATIO: 0.034004218494352347     	BEST FITNESS: 68720353390.37813        	BEST SCORE: 36   	BEST RATIO: 0.05863192182410423      TOO_OLD: 385     	WON: 0    	
