GEN: 199   BEST FITNESS: 7.26726407932259e+32     	BEST SCORE: 97   	BEST RATIO: 0.0458628841607565       WON: 9    	
GEN: 200   BEST FITNESS: 7.158949011535762e+32    	BEST SCORE: 97   	BEST RATIO: 0.04517931998136935      WON: 3    	
GEN: 201   BEST FITNESS: 7.028012586999215e+32    	BEST SCORE: 97   	BEST RATIO: 0.04435299497027892      WON: 11   	
GEN: 202   BEST FITNESS: 7.361237321727626e+32    	BEST SCORE: 97   	BEST RATIO: 0.04645593869731801      WON: 8    	
GEN: 203   BEST FITNESS: 7.564106066814607e+32    	BEST SCORE: 97   	BEST RATIO: 0.04773622047244094      WON: 26   	
GEN: 204   BEST FITNESS: 6.926662247754522e+32    	BEST SCORE: 97   	BEST RATIO: 0.04371338440739072      WON: 10   	
GEN: 205   BEST FITNESS: 7.291396360420911e+32    	BEST SCORE: 97   	BEST RATIO: 0.04601518026565465      WON: 12   	
GEN: 206   BEST FITNESS: 6.895587047001922e+32    	BEST SCORE: 97   	BEST RATIO: 0.04351727231942575      WON: 12   	
GEN: 207   BEST FITNESS: 7.704392745748012e+32    	BEST SCORE: 97   	BEST RATIO: 0.04862155388471178      WON: 7    	
GEN: 208   BEST FITNESS: 7.002397962536346e+32    	BEST SCORE: 97   	BEST RATIO: 0.04419134396355353      WON: 7    	
GEN: 209   BEST FITNESS: 7.04411710713441e+32     	BEST SCORE: 97   	BEST RATIO: 0.044454628780934924     WON: 7    	
GEN: 210   BEST FITNESS: 7.132372866713356e+32    	BEST SCORE: 97   	BEST RATIO: 0.04501160092807425      WON: 11   	
GEN: 211   BEST FITNESS: 7.209316851673209e+32    	BEST SCORE: 97   	BEST RATIO: 0.04549718574108818      WON: 13   	
GEN: 212   BEST FITNESS: 6.697282582905134e+32    	BEST SCORE: 97   	BEST RATIO: 0.04226579520697168      WON: 3    	
