GEN: 65    AVG FITNESS: 48854564.32786824     	AVG SCORE: 4.250909090909091     	AVG RATIO: 0.05063714998615434   	BEST FITNESS: 8590668491.812204     	BEST SCORE: 33   	BEST RATIO: 0.06111111111111111   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 66    AVG FITNESS: 308109626.10335076    	AVG SCORE: 4.627272727272727     	AVG RATIO: 0.051111555463635716  	BEST FITNESS: 274878879189.9416     	BEST SCORE: 38   	BEST RATIO: 0.05277777777777778   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 67    AVG FITNESS: 486185355.07735586    	AVG SCORE: 5.399090909090909     	AVG RATIO: 0.04857842336744383   	BEST FITNESS: 137439881099.23468    	BEST SCORE: 37   	BEST RATIO: 0.0583596214511041    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 68    AVG FITNESS: 188733971.0291833     	AVG SCORE: 4.918181818181818     	AVG RATIO: 0.048235729548732106  	BEST FITNESS: 68720354248.37566     	BEST SCORE: 36   	BEST RATIO: 0.0594059405940594    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 69    AVG FITNESS: 393104639.30905163    	AVG SCORE: 5.789090909090909     	AVG RATIO: 0.05252556231398215   	BEST FITNESS: 137439874965.4348     	BEST SCORE: 37   	BEST RATIO: 0.05377906976744186   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 70    AVG FITNESS: 17389609466.442146    	AVG SCORE: 5.649090909090909     	AVG RATIO: 0.048079631017451434  	BEST FITNESS: 17592187376639.12     	BEST SCORE: 44   	BEST RATIO: 0.060191518467852256  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 71    AVG FITNESS: 1206334212.317527     	AVG SCORE: 5.425454545454546     	AVG RATIO: 0.051954613652030225  	BEST FITNESS: 1099512710285.3242    	BEST SCORE: 40   	BEST RATIO: 0.053475935828877004  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 72    AVG FITNESS: 725228796.1216004     	AVG SCORE: 5.679090909090909     	AVG RATIO: 0.05072318450353114   	BEST FITNESS: 549756842862.5248     	BEST SCORE: 39   	BEST RATIO: 0.05454545454545454   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 73    AVG FITNESS: 5480317722.037083     	AVG SCORE: 6.383636363636364     	AVG RATIO: 0.05137088779549887   	BEST FITNESS: 4398047713765.841     	BEST SCORE: 42   	BEST RATIO: 0.056074766355140186  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 74    AVG FITNESS: 581674003.8160192     	AVG SCORE: 5.339090909090909     	AVG RATIO: 0.048435510530320795  	BEST FITNESS: 274878872000.1498     	BEST SCORE: 38   	BEST RATIO: 0.04878048780487805   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 75    AVG FITNESS: 904779843.2251652     	AVG SCORE: 6.154545454545454     	AVG RATIO: 0.04883179142730606   	BEST FITNESS: 549756859679.9257     	BEST SCORE: 39   	BEST RATIO: 0.06782608695652174   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 76    AVG FITNESS: 1766155423.540567     	AVG SCORE: 7.263636363636364     	AVG RATIO: 0.04438969081376767   	BEST FITNESS: 549756839119.8047     	BEST SCORE: 39   	BEST RATIO: 0.052348993288590606  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 77    AVG FITNESS: 1832596590.4038312    	AVG SCORE: 6.531818181818182     	AVG RATIO: 0.04783062968768521   	BEST FITNESS: 549756841744.6023     	BEST SCORE: 39   	BEST RATIO: 0.05386740331491713   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 78    AVG FITNESS: 1257276331.862864     	AVG SCORE: 6.648181818181818     	AVG RATIO: 0.04533653912671184   	BEST FITNESS: 549756849721.5326     	BEST SCORE: 39   	BEST RATIO: 0.05918057663125948   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 79    AVG FITNESS: 812104118.0903658     	AVG SCORE: 7.277272727272727     	AVG RATIO: 0.045640204843181424  	BEST FITNESS: 137439874735.37326    	BEST SCORE: 37   	BEST RATIO: 0.0536231884057971    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
