
GEN: 56    BEST FITNESS: 4295658692.471871        	BEST SCORE: 32   	BEST RATIO: 0.0653061224489796       WON: 0    	WON AVG RATIO: 0                        	
GEN: 57    BEST FITNESS: 8590679256.031446        	BEST SCORE: 33   	BEST RATIO: 0.07857142857142857      WON: 0    	WON AVG RATIO: 0                        	
GEN: 58    BEST FITNESS: 2148128490.089808        	BEST SCORE: 31   	BEST RATIO: 0.061630218687872766     WON: 0    	WON AVG RATIO: 0                        	
GEN: 59    BEST FITNESS: 68720367686.21475        	BEST SCORE: 36   	BEST RATIO: 0.07563025210084033      WON: 0    	WON AVG RATIO: 0                        	
GEN: 60    BEST FITNESS: 17180661175.2347         	BEST SCORE: 34   	BEST RATIO: 0.0776255707762557       WON: 0    	WON AVG RATIO: 0                        	
GEN: 61    BEST FITNESS: 68720363860.80193        	BEST SCORE: 36   	BEST RATIO: 0.07003891050583658      WON: 0    	WON AVG RATIO: 0                        	
GEN: 62    BEST FITNESS: 4295668959.601765        	BEST SCORE: 32   	BEST RATIO: 0.08719346049046321      WON: 0    	WON AVG RATIO: 0                        	
GEN: 63    BEST FITNESS: 2148134106.4314604       	BEST SCORE: 31   	BEST RATIO: 0.07126436781609195      WON: 0    	WON AVG RATIO: 0                        	
GEN: 64    BEST FITNESS: 17180664304.05327        	BEST SCORE: 34   	BEST RATIO: 0.08436724565756824      WON: 0    	WON AVG RATIO: 0                        	
GEN: 65    BEST FITNESS: 34360573382.29263        	BEST SCORE: 35   	BEST RATIO: 0.06782945736434108      WON: 0    	WON AVG RATIO: 0                        	
GEN: 66    BEST FITNESS: 4295662213.4469795       	BEST SCORE: 32   	BEST RATIO: 0.07126948775055679      WON: 0    	WON AVG RATIO: 0                        	
GEN: 67    BEST FITNESS: 8590674959.99436         	BEST SCORE: 33   	BEST RATIO: 0.07036247334754797      WON: 0    	WON AVG RATIO: 0                        	
GEN: 68    BEST FITNESS: 2148135391.0274343       	BEST SCORE: 31   	BEST RATIO: 0.07398568019093078      WON: 0    	WON AVG RATIO: 0                        	
GEN: 69    BEST FITNESS: 4295664313.492085        	BEST SCORE: 32   	BEST RATIO: 0.07547169811320754      WON: 0    	WON AVG RATIO: 0                        	
GEN: 70    BEST FITNESS: 274878892801.84344       	BEST SCORE: 38   	BEST RATIO: 0.06291390728476821      WON: 0    	WON AVG RATIO: 0                        	
GEN: 71    BEST FITNESS: 17180659168.9565         	BEST SCORE: 34   	BEST RATIO: 0.07391304347826087      WON: 0    	WON AVG RATIO: 0                        	
GEN: 72    BEST FITNESS: 68720359740.45638        	BEST SCORE: 36   	BEST RATIO: 0.06498194945848375      WON: 0    	WON AVG RATIO: 0                        	
GEN: 73    BEST FITNESS: 274878896425.43445       	BEST SCORE: 38   	BEST RATIO: 0.06643356643356643      WON: 0    	WON AVG RATIO: 0                        	
GEN: 74    BEST FITNESS: 17180655163.80194        	BEST SCORE: 34   	BEST RATIO: 0.06759443339960239      WON: 0    	WON AVG RATIO: 0                        	
GEN: 75    BEST FITNESS: 17180651922.10486        	BEST SCORE: 34   	BEST RATIO: 0.0633147113594041       WON: 0    	WON AVG RATIO: 0                        	
GEN: 76    BEST FITNESS: 17180646447.084316       	BEST SCORE: 34   	BEST RATIO: 0.05733558178752108      WON: 0    	WON AVG RATIO: 0                        	
GEN: 77    BEST FITNESS: 8796094296721.266        	BEST SCORE: 43   	BEST RATIO: 0.0629575402635432       WON: 0    	WON AVG RATIO: 0                        	
GEN: 78    BEST FITNESS: 17592187379658.41        	BEST SCORE: 44   	BEST RATIO: 0.061971830985915494     WON: 0    	WON AVG RATIO: 0                        	
GEN: 79    BEST FITNESS: 3.602879702102338e+16    	BEST SCORE: 55   	BEST RATIO: 0.04649196956889264      WON: 0    	WON AVG RATIO: 0                        	
GEN: 80    BEST FITNESS: 3.689348814742194e+19    	BEST SCORE: 65   	BEST RATIO: 0.04014823965410747      WON: 0    	WON AVG RATIO: 0                        	
GEN: 81    BEST FITNESS: 4.611686018429988e+18    	BEST SCORE: 62   	BEST RATIO: 0.04223433242506812      WON: 0    	WON AVG RATIO: 0                        	
GEN: 82    BEST FITNESS: 4503599629176537.0       	BEST SCORE: 52   	BEST RATIO: 0.04133545310015898      WON: 0    	WON AVG RATIO: 0                        	
GEN: 83    BEST FITNESS: 7.099428881185811e+32    	BEST SCORE: 97   	BEST RATIO: 0.04480369515011547      WON: 1    	WON AVG RATIO: 0.04480369515011547      	
GEN: 84    BEST FITNESS: 17592187377648.5         	BEST SCORE: 44   	BEST RATIO: 0.06077348066298342      WON: 0    	WON AVG RATIO: 0                        	
GEN: 85    BEST FITNESS: 2.305843009216201e+18    	BEST SCORE: 61   	BEST RATIO: 0.041440217391304345     WON: 0    	WON AVG RATIO: 0                        	
GEN: 86    BEST FITNESS: 3.689348814742195e+19    	BEST SCORE: 65   	BEST RATIO: 0.041427660930529        WON: 0    	WON AVG RATIO: 0                        	
GEN: 87    BEST FITNESS: 7.418080853169537e+32    	BEST SCORE: 97   	BEST RATIO: 0.04681467181467181      WON: 1    	WON AVG RATIO: 0.04681467181467181      	
GEN: 88    BEST FITNESS: 6.939170892897193e+32    	BEST SCORE: 97   	BEST RATIO: 0.04379232505643341      WON: 2    	WON AVG RATIO: 0.04206248269453687      	
GEN: 89    BEST FITNESS: 7.040890301313459e+32    	BEST SCORE: 97   	BEST RATIO: 0.04443426477324782      WON: 3    	WON AVG RATIO: 0.038546688285434845     	
