GEN: 54    AVG FITNESS: 62509.76321108073        	AVG SCORE: 1.81      	AVG RATIO: 0.05020247406667776      	BEST SCORE: 24   	BEST RATIO: 0.06685236768802229      TOO_OLD: 62      	WON: 0    	
GEN: 55    AVG FITNESS: 128646.04193815241       	AVG SCORE: 1.816     	AVG RATIO: 0.05190796055452337      	BEST SCORE: 26   	BEST RATIO: 0.10196078431372549      TOO_OLD: 47      	WON: 0    	
GEN: 56    AVG FITNESS: 59182.171892313534       	AVG SCORE: 1.954     	AVG RATIO: 0.046408892266768004     	BEST SCORE: 25   	BEST RATIO: 0.06009615384615385      TOO_OLD: 91      	WON: 0    	
GEN: 57    AVG FITNESS: 248567.66416611028       	AVG SCORE: 2.477     	AVG RATIO: 0.04555569860040829      	BEST SCORE: 27   	BEST RATIO: 0.057569296375266525     TOO_OLD: 149     	WON: 0    	
GEN: 58    AVG FITNESS: 74033.86993468514        	AVG SCORE: 2.104     	AVG RATIO: 0.04534189599810357      	BEST SCORE: 24   	BEST RATIO: 0.06349206349206349      TOO_OLD: 123     	WON: 0    	
GEN: 59    AVG FITNESS: 157723.36640435763       	AVG SCORE: 2.295     	AVG RATIO: 0.043204066265060244     	BEST SCORE: 25   	BEST RATIO: 0.07042253521126761      TOO_OLD: 154     	WON: 0    	
GEN: 60    AVG FITNESS: 3710520.433654007        	AVG SCORE: 2.666     	AVG RATIO: 0.0473114463176575       	BEST SCORE: 31   	BEST RATIO: 0.047692307692307694     TOO_OLD: 124     	WON: 0    	
GEN: 61    AVG FITNESS: 12436618.313122183       	AVG SCORE: 2.682     	AVG RATIO: 0.04588929763025066      	BEST SCORE: 33   	BEST RATIO: 0.06918238993710692      TOO_OLD: 126     	WON: 0    	
GEN: 62    AVG FITNESS: 960838.1385348499        	AVG SCORE: 2.982     	AVG RATIO: 0.04633816605286468      	BEST SCORE: 27   	BEST RATIO: 0.06923076923076923      TOO_OLD: 128     	WON: 0    	
GEN: 63    AVG FITNESS: 6161234.319942301        	AVG SCORE: 3.76      	AVG RATIO: 0.05143146347135021      	BEST SCORE: 30   	BEST RATIO: 0.06437768240343347      TOO_OLD: 120     	WON: 0    	
GEN: 64    AVG FITNESS: 8947588.736294903        	AVG SCORE: 4.191     	AVG RATIO: 0.05220153204210002      	BEST SCORE: 31   	BEST RATIO: 0.06695464362850972      TOO_OLD: 134     	WON: 0    	
GEN: 65    AVG FITNESS: 25515378.581388388       	AVG SCORE: 5.405     	AVG RATIO: 0.055032327037621544     	BEST SCORE: 34   	BEST RATIO: 0.05872193436960276      TOO_OLD: 146     	WON: 0    	
GEN: 66    AVG FITNESS: 28226011.508945774       	AVG SCORE: 6.183     	AVG RATIO: 0.05693632303513053      	BEST SCORE: 34   	BEST RATIO: 0.06868686868686869      TOO_OLD: 114     	WON: 0    	
GEN: 67    AVG FITNESS: 15042819.289739056       	AVG SCORE: 5.363     	AVG RATIO: 0.05440196386727666      	BEST SCORE: 32   	BEST RATIO: 0.06262230919765166      TOO_OLD: 172     	WON: 0    	
GEN: 68    AVG FITNESS: 35166579.17097404        	AVG SCORE: 6.477     	AVG RATIO: 0.05732517900289415      	BEST SCORE: 33   	BEST RATIO: 0.06666666666666667      TOO_OLD: 146     	WON: 0    	
GEN: 69    AVG FITNESS: 17515610.819740046       	AVG SCORE: 5.347     	AVG RATIO: 0.05544782387771821      	BEST SCORE: 32   	BEST RATIO: 0.05714285714285714      TOO_OLD: 181     	WON: 0    	
GEN: 70    AVG FITNESS: 12071378.166164055       	AVG SCORE: 4.934     	AVG RATIO: 0.054900913531617544     	BEST SCORE: 31   	BEST RATIO: 0.07654320987654321      TOO_OLD: 159     	WON: 0    	
GEN: 71    AVG FITNESS: 12312873.380102526       	AVG SCORE: 5.673     	AVG RATIO: 0.056617331510294515     	BEST SCORE: 31   	BEST RATIO: 0.06485355648535565      TOO_OLD: 170     	WON: 0    	
GEN: 72    AVG FITNESS: 8591317.664399344        	AVG SCORE: 5.54      	AVG RATIO: 0.056993539360520144     	BEST SCORE: 31   	BEST RATIO: 0.07311320754716981      TOO_OLD: 168     	WON: 0    	
GEN: 73    AVG FITNESS: 9583568.254705675        	AVG SCORE: 5.281     	AVG RATIO: 0.059688503096885025     	BEST SCORE: 31   	BEST RATIO: 0.05688073394495413      TOO_OLD: 107     	WON: 0    	
GEN: 74    AVG FITNESS: 17400921.788274117       	AVG SCORE: 5.197     	AVG RATIO: 0.058668141742772316     	BEST SCORE: 32   	BEST RATIO: 0.059369202226345084     TOO_OLD: 122     	WON: 0    	
